hood,muni,county,weighted_otp,route_count,stop_count,total_trips_7d,unweighted_otp,otp_gap,bus_weighted_otp,bus_route_count
Spring Garden,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7142080062184222,2,26,1178,0.716132530120482,-0.0019245239020597715,0.7142080062184222,2
Spring Hill-City View,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7148746509862519,2,32,7031,0.6896981927710844,0.025176458215167563,0.7148746509862519,2
Central Northside,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.72093404302719,8,16,9978,0.7316890923449897,-0.010755049317799692,0.72093404302719,8
Troy Hill,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7239676143382076,4,34,5085,0.6673006281222451,0.056666986215962445,0.7239676143382076,4
Mt. Oliver,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.72646625,1,10,1295,0.72646625,0.0,0.72646625,1
St. Clair,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.72646625,1,3,256,0.72646625,0.0,0.72646625,1
Manchester,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7265024750524574,4,27,6207,0.7553718593887746,-0.02886938433631725,0.7265024750524574,4
South Shore,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7279449974545837,21,12,14185,0.7340786124665998,-0.006133615012016036,0.7279449974545837,21
Perry South,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7301035996893985,5,64,19457,0.7179080899206582,0.012195509768740287,0.7301035996893985,5
Beltzhoover,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7313492905720669,6,39,7638,0.7727280181528583,-0.04137872758079142,0.7130612043133187,4
West End,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7321388413464062,5,13,3294,0.7257171882716049,0.006421653074801248,0.7321388413464062,5
Banksville,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7328187500000001,1,13,1508,0.7328187500000001,0.0,0.7328187500000001,1
Perry North,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7367806987777873,4,36,15239,0.7148701807228915,0.021910518054895745,0.7367806987777873,4
Elliott,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7440893863033027,12,21,7364,0.7232723923951602,0.02081699390814251,0.7440893863033027,12
