city,month,upt,index
Cleveland,2021-11,1473639,54.96631913172474
Cleveland,2021-12,1373987,51.2493276337292
Cleveland,2022-01,1246259,46.48510925320525
Cleveland,2022-02,1300028,48.490677790271455
Cleveland,2022-03,1586252,59.166752274699995
Cleveland,2022-04,1563213,58.307404071730474
Cleveland,2022-05,1611495,60.10830905613841
Cleveland,2022-06,1551056,57.85395140002161
Cleveland,2022-07,1529200,57.03872876344441
Cleveland,2022-08,1715332,63.98139987395805
Cleveland,2022-09,1798823,67.09559062937835
Cleveland,2022-10,1855964,69.2269338155358
Cleveland,2022-11,1725525,64.36159589951768
Cleveland,2022-12,1598466,59.62233103033478
Cleveland,2023-01,1731820,64.5963976243188
Cleveland,2023-02,1700025,63.41045309055362
Cleveland,2023-03,1855618,69.2140281131083
Cleveland,2023-04,1832344,68.34591447640909
Cleveland,2023-05,2014203,75.12920389191474
Cleveland,2023-06,1805504,67.34479004532693
Cleveland,2023-07,1737823,64.82030783146435
Cleveland,2023-08,1955852,72.952728046979
Cleveland,2023-09,1973894,73.62568955910956
Cleveland,2023-10,2087343,77.85730526633165
Cleveland,2023-11,1890040,70.49795900605577
Cleveland,2023-12,1830904,68.29220288249113
Cleveland,2024-01,1801256,67.18634084326892
Cleveland,2024-02,1963950,73.25478116333159
Cleveland,2024-03,2028586,75.66568573588847
Cleveland,2024-04,2156031,80.41934829621883
Cleveland,2024-05,2195323,81.88492881581944
Cleveland,2024-06,1943549,72.49382961644234
Cleveland,2024-07,1972980,73.59159761685885
Cleveland,2024-08,2123468,79.20475757903073
Cleveland,2024-09,2230296,83.18941185338414
Cleveland,2024-10,2383158,88.89112134608466
Cleveland,2024-11,2118402,79.01579720764987
Cleveland,2024-12,1971786,73.54706175356854
Cleveland,2025-01,1905443,71.07248656238806
Cleveland,2025-02,1880197,70.13081788179565
Cleveland,2025-03,2093173,78.07476262226342
Cleveland,2025-04,2151102,80.23549798620377
Cleveland,2025-05,2136549,79.69267519017028
Cleveland,2025-06,1934613,72.16051933640694
Cleveland,2025-07,1997862,74.51968920009978
Cleveland,2025-08,2139664,79.8088638117359
Cleveland,2025-09,2241994,83.62574395453166
Cleveland,2025-10,2292007,85.49121475079515
Cleveland,2025-11,1915064,71.4313471492525
Cleveland,2025-12,1825909,68.10589079108816
Denver,2019-01,8225737,93.82303211988472
Denver,2019-02,7751811,88.41741626802263
Denver,2019-03,8202796,93.561366304425
Denver,2019-04,8943903,102.01445760375432
Denver,2019-05,9054959,103.28116606466256
Denver,2019-06,8598073,98.06990902433587
Denver,2019-07,8909125,101.61777856927203
Denver,2019-08,9550342,108.9315211782098
Denver,2019-09,9293372,106.00051273922777
Denver,2019-10,9692230,110.54990046524831
Denver,2019-11,8486375,96.79587788989444
Denver,2019-12,8498753,96.9370617730626
Denver,2020-01,8736430,99.64801360694177
Denver,2020-02,8247653,94.07300675096512
Denver,2020-03,5960423,67.98478465541746
Denver,2020-04,2883535,32.88969692610058
Denver,2020-05,3091676,35.26376015331839
Denver,2020-06,3474413,39.629271212627515
Denver,2020-07,3400753,38.789102782011426
Denver,2020-08,3467417,39.54947460197601
Denver,2020-09,3428435,39.104844602488136
Denver,2020-10,3551224,40.505380054930704
Denver,2020-11,3056544,34.86304338296263
Denver,2020-12,3051229,34.80242031469323
Denver,2021-01,3057990,34.879536507462646
Denver,2021-02,2827095,32.245940393057246
Denver,2021-03,3417635,38.981659440247384
Denver,2021-04,3525066,40.207021029570186
Denver,2021-05,3722711,42.461366528743646
Denver,2021-06,4125016,47.050070852379356
Denver,2021-07,4461591,50.8890565913776
Denver,2021-08,4647495,53.00948385074841
Denver,2021-09,5006162,57.10045168273024
Denver,2021-10,4980152,56.80378075033376
Denver,2021-11,4530812,51.678593639106026
Denver,2021-12,4475438,51.046995937817194
Denver,2022-01,4239504,48.35592482039965
Denver,2022-02,4093111,46.686161352259795
Denver,2022-03,4845281,55.265437600651126
Denver,2022-04,4931158,56.244953543035294
Denver,2022-05,5043020,57.52085526697742
Denver,2022-06,5494501,62.67046269601602
Denver,2022-07,5183302,59.120916464149374
Denver,2022-08,6327503,72.17171144757812
Denver,2022-09,5678672,64.77112329926061
Denver,2022-10,5619252,64.09337678626565
Denver,2022-11,4961889,56.59547235977793
Denver,2022-12,4865458,55.49557713940405
Denver,2023-01,4693423,53.53334015921074
Denver,2023-02,4577411,52.210103396074246
Denver,2023-03,5220483,59.54500419723024
Denver,2023-04,4982209,56.827242961327194
Denver,2023-05,5328647,60.778726409138464
Denver,2023-06,5148069,58.719047684406
Denver,2023-07,6004949,68.49264970485558
Denver,2023-08,6548083,74.68765432601006
Denver,2023-09,5786181,65.99737455919959
Denver,2023-10,5786113,65.9965989489188
Denver,2023-11,5329196,60.784988321552355
Denver,2023-12,5128057,58.49079014118731
Denver,2024-01,5296961,60.41731483036435
Denver,2024-02,5298709,60.43725257699367
Denver,2024-03,5437447,62.01970285837862
Denver,2024-04,5663795,64.60143573827396
Denver,2024-05,5759447,65.69244565851956
Denver,2024-06,5076170,57.898965278855286
Denver,2024-07,5192249,59.222966246239004
Denver,2024-08,5454356,62.21256747952019
Denver,2024-09,5488165,62.598194067501446
Denver,2024-10,5783534,65.96718278841706
Denver,2024-11,4862331,55.45991047252193
