route_id,route_name,mode,avg_otp,weighted_iri,weighted_opi,poor_share,penndot_lanes,match_rate,penndot_match_rate,n_segments,stop_count,span_km
65,SQUIRREL HILL,BUS,0.6150641975308642,158.3655359362125,85.39163856553625,0.21050753950729087,2.346167269876027,0.5627548708654282,0.9664703217036701,68,70,7.949335087701236
67,MONROEVILLE,BUS,0.6035817073170732,157.72813452919328,81.35920013152355,0.2163443302470125,2.2324596161226493,0.4944287063267233,0.7053824362606232,115,191,22.276841676728523
P67,MONROEVILLE FLYER,BUS,0.6799807228915663,156.32191474868284,80.55700633740503,0.2169124207907585,2.255569697534122,0.3127438231469441,0.5094278283485045,51,69,17.340406383062557
20,KENNEDY,BUS,0.698530487804878,155.5279244277171,85.4458369441711,0.3122704268758151,2.0620815110113404,0.48388349514563106,0.9619417475728156,53,92,13.712067654834525
P69,TRAFFORD FLYER,BUS,0.6454650602409638,155.14878415667638,83.81532900142439,0.26751902996118254,2.164611389161206,0.3786112519006589,0.5907247845919918,63,128,22.574311709378655
24,WEST PARK,BUS,0.6971098765432099,154.20102310839363,84.4331578380692,0.33134280893624707,2.1189551393531767,0.371505557426743,0.7891545975075783,52,98,13.922258487647591
38,GREEN TREE,BUS,0.713946913580247,151.75156685936116,83.00935769424193,0.2777147541686241,2.030718880240199,0.6929305512301464,0.8720024914356899,88,131,12.261876259076415
52L,HOMEVILLE LIMITED,BUS,0.6749771084337349,150.64479616597765,84.7489743610831,0.19602991545630521,2.2925967162608383,0.5444521019986216,0.8873190902825637,58,136,15.523676314067313
61C,MCKEESPORT-HOMESTEAD,BUS,0.5677506024096386,150.42588756042673,83.82696361794041,0.16437680430887291,2.188336835235238,0.8891225961538461,0.9378004807692307,89,158,16.462887597685608
53L,HOMESTEAD PARK LIMITED,BUS,0.6500780487804878,148.73783912807747,85.7281652042776,0.20875675209464628,2.276197161471472,0.48581011351909187,0.7672858617131063,66,146,12.322998382877683
59,MON VALLEY,BUS,0.689755421686747,148.70509938313646,82.60918147691397,0.1928703199193409,2.136413889846527,0.40358467243510504,0.7424289245982695,73,334,12.895827524446
60,MCKEESPORT - WALNUT,BUS,0.7833819277108435,148.48142571062374,75.40681298897222,0.24296457843864536,2.145804395783969,0.6119733924611973,0.7997043606799704,19,88,5.058923463300133
36,BANKSVILLE,BUS,0.7328187500000001,147.76950060441808,83.09591368801367,0.27423521567988063,2.1610023082597625,0.6860377358490566,0.8747169811320755,64,78,12.14128048404031
29,ROBINSON,BUS,0.6510407407407407,140.47527785665218,85.10322109565665,0.2142017035773624,2.1667950398225626,0.5965559655596556,0.7709102091020911,72,131,17.067718520592095
14,OHIO VALLEY,BUS,0.7563674698795181,138.7477061575527,82.37816663245333,0.12393247670254096,1.9160807724084303,0.6456218274111675,0.8369289340101523,61,138,24.12865021014509
2,MOUNT ROYAL,BUS,0.6322256097560975,135.16294760575352,80.73911416530926,0.12800160575243982,2.21329055350899,0.35239456754824877,0.8811055515844651,56,187,13.848572886447071
21,CORAOPOLIS,BUS,0.7360734939759036,133.2229719160373,84.32184542806299,0.20079233404207641,2.180347858861089,0.8795086251960271,0.9702038682697334,97,133,20.236530514416152
P76,LINCOLN HIGHWAY FLYER,BUS,0.6996135802469136,131.39365969129332,83.97669893693926,0.14404685955829447,2.137187172387839,0.6015660985720866,0.6764163979732842,99,100,20.75113983556403
P10,ALLEGHENY VALLEY FLYER,BUS,0.6431036144578314,131.22332854139174,83.62059777646157,0.13765848904154282,2.1149717343876184,0.5443037974683544,0.7862522031725685,92,189,35.609612146488786
P13,MOUNT ROYAL FLYER,BUS,0.6792658536585365,127.85159367545144,82.78933666521587,0.126301252626188,2.1148661283467916,0.375033130135171,1.0,48,123,13.848572886447071
1,FREEPORT ROAD,BUS,0.6164829268292683,126.82255450390966,84.4552170575447,0.15998694838780128,2.084691144834853,0.5303571428571429,0.9209821428571429,85,221,27.362454504961793
28X,AIRPORT FLYER,BUS,0.6166469879518072,126.13928665762757,88.08702709465098,0.1557037586185297,2.241941337818246,0.7482302246845183,0.8116343490304709,147,74,29.003116140598706
O5,THOMPSON RUN FLYER VIA 279,BUS,0.6921698795180723,119.2762404869473,90.26614511649687,0.10507396137731664,2.1724,0.3634549600912201,0.7528506271379704,77,127,16.16884707272886
P12,HOLIDAY PARK FLYER,BUS,0.6679280487804878,118.14676364761414,82.42375174069083,0.12395011695789515,2.24609845783014,0.46326813491452334,0.6000308024025874,90,62,24.969203381144393
O12,MCKNIGHT FLYER,BUS,0.6471686746987952,114.3381670545937,86.97365726135187,0.06950726300432523,2.317228367695376,0.8355697977168035,0.9583416783496895,112,64,16.413809486675728
O1,ROSS FLYER,BUS,0.7058060240963855,114.04818648328755,91.28554271983612,0.10419985761496639,2.2167183552753187,0.9437420986093552,0.9702907711757269,78,7,7.885177660219192
12,MCKNIGHT,BUS,0.654610843373494,106.65491622134955,86.2033961638644,0.07831815077165198,2.3942973050855705,0.5510431154381085,0.7618915159944367,69,108,16.35066654278593
G3,MOON FLYER,BUS,0.7420414634146342,104.14253982538938,89.0550626376237,0.13782289789534694,2.0912596401028276,0.6234844710181033,0.7121740574655373,98,34,20.85468542273929
