route_id,change_month,old_pick,new_pick,trips_before,trips_after,trip_delta,otp_before,otp_after,otp_delta,n_before,n_after,event_type,is_covid
19L,2019-07,1903,1906,21,21,0,0.6624333333333333,0.7114666666666668,0.049033333333333484,3,3,neutral,false
19L,2019-09,1906,1909,21,21,0,0.7113,0.6345333333333333,-0.07676666666666676,3,3,neutral,false
19L,2019-12,1909,1911,21,21,0,0.6345333333333333,0.6486,0.014066666666666672,3,3,neutral,false
19L,2020-03,1911,2003,21,63,42,0.6486,0.5836,-0.06499999999999995,3,3,increase,true
19L,2020-04,2003,2003EMERG,63,33,-30,0.6529,0.5247999999999999,-0.1281000000000001,3,3,cut,true
19L,2020-09,2003EMERG,2009,33,21,-12,0.5060333333333333,0.5815666666666667,0.07553333333333334,3,3,cut,false
19L,2020-12,2009,2011,21,13,-8,0.5815666666666667,0.6297,0.04813333333333336,3,3,cut,false
2,2019-04,1811,1903,53,53,0,0.6836333333333333,0.5803666666666666,-0.10326666666666673,3,3,neutral,false
2,2019-07,1903,1906,53,53,0,0.5803666666666666,0.5737666666666666,-0.006599999999999939,3,3,neutral,false
2,2019-09,1906,1909,53,53,0,0.5804666666666666,0.5921,0.011633333333333384,3,3,neutral,false
2,2019-12,1909,1911,53,53,0,0.5921,0.6233333333333334,0.031233333333333446,3,3,neutral,false
2,2020-03,1911,2003,53,159,106,0.6233333333333334,0.6419666666666667,0.01863333333333328,3,3,increase,true
2,2020-04,2003,2003EMERG,159,114,-45,0.6348333333333334,0.6117666666666667,-0.02306666666666668,3,3,cut,true
2,2020-09,2003EMERG,2009,114,53,-61,0.5724,0.6131,0.04069999999999996,3,2,cut,false
2,2020-12,2009,2011,53,53,0,0.6131,0.6551333333333332,0.042033333333333256,2,3,neutral,false
20,2019-04,1811,1903,46,46,0,0.7209666666666666,0.7349666666666667,0.014000000000000012,3,3,neutral,false
20,2019-07,1903,1906,46,46,0,0.7349666666666667,0.7521,0.017133333333333334,3,3,neutral,false
20,2019-09,1906,1909,46,46,0,0.7340666666666666,0.7679666666666667,0.03390000000000004,3,3,neutral,false
20,2019-12,1909,1911,46,46,0,0.7679666666666667,0.8040666666666666,0.03609999999999991,3,3,neutral,false
20,2020-03,1911,2003,46,138,92,0.8040666666666666,0.7849333333333334,-0.019133333333333225,3,3,increase,true
20,2020-04,2003,2003EMERG,138,102,-36,0.8207,0.7556333333333334,-0.0650666666666666,3,3,cut,true
20,2020-09,2003EMERG,2009,102,46,-56,0.7170333333333333,0.68475,-0.03228333333333333,3,2,cut,false
20,2020-12,2009,2011,46,46,0,0.68475,0.6784666666666667,-0.0062833333333333075,2,3,neutral,false
21,2019-04,1811,1903,61,61,0,0.6819000000000001,0.6650666666666667,-0.016833333333333367,3,3,neutral,false
21,2019-07,1903,1906,61,61,0,0.6650666666666667,0.6545333333333333,-0.010533333333333394,3,3,neutral,false
21,2019-09,1906,1909,61,61,0,0.6722333333333333,0.6312666666666668,-0.040966666666666596,3,3,neutral,false
21,2019-12,1909,1911,61,61,0,0.6312666666666668,0.733,0.10173333333333323,3,3,neutral,false
21,2020-03,1911,2003,61,183,122,0.733,0.7492333333333333,0.016233333333333322,3,3,increase,true
21,2020-04,2003,2003EMERG,183,183,0,0.7478333333333333,0.7226333333333333,-0.0252,3,3,neutral,true
21,2020-09,2003EMERG,2009,183,61,-122,0.7115,0.6884333333333333,-0.02306666666666668,3,3,cut,false
21,2020-12,2009,2011,61,61,0,0.6884333333333333,0.7119333333333334,0.023500000000000076,3,3,neutral,false
22,2019-04,1811,1903,50,50,0,0.7829333333333333,0.7163333333333334,-0.06659999999999988,3,3,neutral,false
22,2019-07,1903,1906,50,50,0,0.7163333333333334,0.6658000000000001,-0.05053333333333332,3,3,neutral,false
22,2019-09,1906,1909,50,50,0,0.6743666666666667,0.6800666666666667,0.005700000000000038,3,3,neutral,false
22,2019-12,1909,1911,50,50,0,0.6800666666666667,0.7263000000000001,0.04623333333333335,3,3,neutral,false
22,2020-03,1911,2003,50,150,100,0.7263000000000001,0.7396666666666666,0.013366666666666527,3,3,increase,true
22,2020-04,2003,2003EMERG,150,132,-18,0.7534333333333333,0.7484999999999999,-0.004933333333333345,3,3,cut,true
22,2020-09,2003EMERG,2009,132,50,-82,0.7393666666666667,0.6811000000000001,-0.05826666666666658,3,3,cut,false
22,2020-12,2009,2011,50,40,-10,0.6811000000000001,0.7770999999999999,0.09599999999999975,3,3,cut,false
24,2019-04,1811,1903,58,58,0,0.7056999999999999,0.6497,-0.05599999999999983,3,3,neutral,false
24,2019-07,1903,1906,58,58,0,0.6497,0.6603666666666667,0.010666666666666602,3,3,neutral,false
24,2019-09,1906,1909,58,58,0,0.6559666666666667,0.6668,0.01083333333333325,3,3,neutral,false
24,2019-12,1909,1911,58,58,0,0.6668,0.6932,0.02640000000000009,3,3,neutral,false
24,2020-03,1911,2003,58,174,116,0.6932,0.7500333333333332,0.05683333333333318,3,3,increase,true
24,2020-04,2003,2003EMERG,174,96,-78,0.7175333333333332,0.7485333333333334,0.03100000000000014,3,3,cut,true
24,2020-09,2003EMERG,2009,96,58,-38,0.7343666666666667,0.6991999999999999,-0.03516666666666679,3,3,cut,false
24,2020-11,2009,2011,58,60,2,0.6824,0.7324,0.050000000000000044,3,3,increase,false
26,2019-04,1811,1903,70,70,0,0.7810333333333334,0.7497000000000001,-0.03133333333333321,3,3,neutral,false
26,2019-07,1903,1906,70,70,0,0.7497000000000001,0.8161999999999999,0.06649999999999978,3,3,neutral,false
26,2019-09,1906,1909,70,70,0,0.7995333333333333,0.8095333333333333,0.010000000000000009,3,3,neutral,false
26,2019-12,1909,1911,70,70,0,0.8095333333333333,0.8659333333333333,0.056400000000000006,3,3,neutral,false
26,2020-03,1911,2003,70,210,140,0.8659333333333333,0.8343333333333334,-0.03159999999999996,3,3,increase,true
26,2020-04,2003,2003EMERG,210,144,-66,0.8691333333333334,0.8277333333333333,-0.0414000000000001,3,3,cut,true
26,2020-09,2003EMERG,2009,144,70,-74,0.8453333333333334,0.8445,-0.0008333333333333526,3,2,cut,false
26,2020-12,2009,2011,70,62,-8,0.8445,0.8296666666666667,-0.014833333333333365,2,3,cut,false
27,2019-04,1811,1903,66,66,0,0.7918666666666668,0.7385666666666667,-0.053300000000000125,3,3,neutral,false
27,2019-07,1903,1906,66,66,0,0.7385666666666667,0.7639999999999999,0.025433333333333197,3,3,neutral,false
27,2019-09,1906,1909,66,66,0,0.7600000000000001,0.7643,0.0042999999999998595,3,3,neutral,false
27,2019-12,1909,1911,66,66,0,0.7643,0.8488666666666665,0.08456666666666657,3,3,neutral,false
27,2020-03,1911,2003,66,198,132,0.8488666666666665,0.8102333333333335,-0.038633333333333075,3,3,increase,true
27,2020-04,2003,2003EMERG,198,144,-54,0.8510333333333334,0.7923666666666667,-0.058666666666666756,3,3,cut,true
27,2020-09,2003EMERG,2009,144,66,-78,0.8132333333333334,0.8207666666666666,0.007533333333333281,3,3,cut,false
27,2020-12,2009,2011,66,60,-6,0.8207666666666666,0.8015333333333333,-0.019233333333333325,3,3,cut,false
28X,2019-04,1811,1903,80,80,0,0.6329,0.6295666666666667,-0.0033333333333332993,3,3,neutral,false
28X,2019-07,1903,1906,80,80,0,0.6295666666666667,0.5656,-0.06396666666666673,3,3,neutral,false
28X,2019-09,1906,1909,80,80,0,0.5922666666666667,0.5442,-0.0480666666666667,3,3,neutral,false
28X,2019-12,1909,1911,80,80,0,0.5442,0.6553,0.11109999999999998,3,3,neutral,false
28X,2020-03,1911,2003,80,240,160,0.6553,0.6877333333333334,0.032433333333333425,3,3,increase,true
