ntd_id,agency_name,year,vrh_prev,vrh,upt_prev,upt,vrh_pct,upt_pct,base_vrh
40012,City of Winston Salem (WSTA) - Department of Transportation,1992,137787.0,136522.0,3474913.0,3723678.0,-0.9180837089130324,7.158884265591685,137787.0
40017,Lexington Transit Authority,1992,133453.0,143096.0,2472640.0,2569784.0,7.225764876023769,3.928756309046202,133453.0
40018,Transit Authority of River City (TARC),1992,678863.0,690870.0,22846202.0,24911770.0,1.7686926522729918,9.04118767749668,678863.0
40019,Transit Authority of Northern Kentucky (TANK),1992,182362.0,189148.0,4546106.0,4501623.0,3.721169980588061,-0.9784857634203866,182362.0
40022,Metropolitan Atlanta Rapid Transit Authority (MARTA),1992,2572425.0,2586136.0,143187822.0,141050969.0,0.5329990184359116,-1.4923426937802016,2572425.0
40025,Chatham Area Transit Authority (CAT),1992,185263.0,185266.0,5423232.0,5300788.0,0.0016193195619200814,-2.2577680615544384,185263.0
40027,Pinellas Suncoast Transit Authority (PSTA),1992,448783.0,464632.0,10913951.0,9519806.0,3.531550883166252,-12.773971589207244,448783.0
40029,Broward County Board of County Commissioners (BCT),1992,852037.0,832527.0,19971381.0,21071289.0,-2.2898066633256535,5.507420843856516,852037.0
40030,"City of Gainesville, FL (RTS) - Regional Transit System",1992,101539.0,112009.0,2635156.0,2635156.0,10.311308955179783,0.0,101539.0
40032,County of Volusia,1992,108860.0,117201.0,3026708.0,3055880.0,7.66213485210362,0.9638194368270742,108860.0
40034,County of Miami-Dade (DTPW) - Transportation & Public Works,1992,1841360.0,1901413.0,73415297.0,72297244.0,3.2613394447582227,-1.5229155852900793,1841360.0
40036,City of Tallahassee - StarMetro,1992,135695.0,141339.0,3501739.0,3678443.0,4.159327904491691,5.046178484461578,135695.0
40037,"Board of County Commissioners, Palm Beach County",1992,187578.0,201275.0,2743374.0,2755985.0,7.302029022593268,0.45968941894178483,187578.0
40040,Jacksonville Transportation Authority (JTA),1992,438019.0,464595.0,9747780.0,9923464.0,6.067316714571742,1.8022975487752082,438019.0
