current_garage,month,weighted_otp,unweighted_otp,total_riders,n_routes
East Liberty,2019-12,0.6984220336070726,0.6913451612903225,65680.61904761905,31
East Liberty,2020-01,0.7012003999290096,0.6991516129032258,70944.40909090909,31
East Liberty,2020-02,0.6832513494979181,0.6811566666666666,69411.0,30
East Liberty,2020-03,0.7398465515932218,0.7335451612903225,42502.5,31
East Liberty,2020-04,0.7139103786764252,0.7119903225806452,14706.727272727274,31
East Liberty,2020-05,0.7426193117859189,0.7291096774193548,19286.15,31
East Liberty,2020-06,0.7220430834021603,0.703883870967742,22784.454545454555,31
East Liberty,2020-07,0.7091524070744882,0.6923193548387097,21185.73913043478,31
East Liberty,2020-08,0.7153392873760732,0.7119967741935483,22003.19047619047,31
East Liberty,2020-09,0.716860578601927,0.7094322580645162,24000.38095238094,31
East Liberty,2020-10,0.7068404594393525,0.7015838709677419,24072.818181818173,31
East Liberty,2020-11,0.7334477147589783,0.7149761904761904,18443.35,21
East Liberty,2020-12,0.7232997706573592,0.7121645161290323,18570.86363636363,31
East Liberty,2021-01,0.7348743926995417,0.725541935483871,18672.8,31
East Liberty,2021-02,0.7210367209855281,0.7108709677419355,20671.15,31
East Liberty,2021-03,0.7366975094428259,0.7282451612903226,22952.782608695645,31
East Liberty,2021-04,0.711814728049621,0.7188451612903225,24732.95454545456,31
East Liberty,2021-05,0.7119467099310665,0.7156999999999999,24646.9,31
East Liberty,2021-06,0.7067617603772262,0.7025225806451614,25294.68181818182,31
East Liberty,2021-07,0.7204215136172996,0.721358064516129,26636.285714285714,31
East Liberty,2021-08,0.6835736222560886,0.7042838709677419,31019.090909090923,31
East Liberty,2021-09,0.6197018617237372,0.6554064516129032,40438.7142857143,31
East Liberty,2021-10,0.6549150779038838,0.6767064516129032,40244.95238095238,31
East Liberty,2021-11,0.6982841433622959,0.7095741935483871,37114.09523809524,31
East Liberty,2021-12,0.7200116474463188,0.7147870967741936,30862.521739130414,31
East Liberty,2022-01,0.7362274127623334,0.7252935483870968,28403.52380952379,31
East Liberty,2022-02,0.6771952518871761,0.699858064516129,38238.35,31
East Liberty,2022-03,0.6619308947961136,0.6764,41503.26086956521,31
East Liberty,2022-04,0.6355938073505023,0.6626516129032258,40514.23809523807,31
East Liberty,2022-05,0.6892769272405589,0.6911967741935484,37653.7619047619,31
East Liberty,2022-06,0.6842473039065652,0.6930322580645162,36385.136363636375,31
East Liberty,2022-07,0.6898197473268013,0.6990354838709678,34649.5,31
East Liberty,2022-08,0.6500886676741304,0.6533833333333334,37085.52173913043,30
East Liberty,2022-09,0.5454030547073472,0.5955129032258064,49372.666666666664,31
East Liberty,2022-10,0.6477793155635049,0.6730354838709678,47071.04761904762,31
East Liberty,2022-11,0.6298209451735384,0.6565032258064517,44071.5238095238,31
East Liberty,2022-12,0.661800688274593,0.6722322580645161,36012.31818181818,31
East Liberty,2023-01,0.6772142235204609,0.6809741935483871,39789.72727272728,31
East Liberty,2023-02,0.6582217908036565,0.6557999999999999,44939.6,31
East Liberty,2023-03,0.6735028721191079,0.6609677419354838,43240.3043478261,31
East Liberty,2023-04,0.6376723744356074,0.6370032258064516,44705.15,31
East Liberty,2023-05,0.6334109474697486,0.6326193548387097,40798.13636363636,31
East Liberty,2023-06,0.6316520161186406,0.6166387096774194,38803.181818181816,31
East Liberty,2023-07,0.6335313329883333,0.6206258064516129,38164.25,31
East Liberty,2023-08,0.6053750340709375,0.6045516129032258,42303.04347826089,31
East Liberty,2023-09,0.5652214941898198,0.585558064516129,51771.2,31
East Liberty,2023-10,0.6000944949040571,0.60209,48603.72727272728,30
East Liberty,2023-11,0.6377773678511305,0.6327833333333334,44239.42857142855,30
East Liberty,2023-12,0.6583836157461954,0.6399433333333333,36368.15,30
