mode,month,avg_otp,route_count,bus_type
BUS,2019-07,0.8569333333333334,3,busway
BUS,2019-08,0.8651333333333334,3,busway
BUS,2019-09,0.8582000000000001,3,busway
BUS,2019-10,0.8589666666666668,3,busway
BUS,2019-11,0.8363,3,busway
BUS,2019-12,0.8595,3,busway
BUS,2020-01,0.8605333333333333,3,busway
BUS,2020-02,0.8417666666666667,3,busway
BUS,2020-03,0.8723666666666666,3,busway
BUS,2020-04,0.8447,3,busway
BUS,2020-05,0.8586,3,busway
BUS,2020-06,0.8449666666666666,3,busway
BUS,2020-07,0.8271000000000001,3,busway
BUS,2020-08,0.8548333333333332,3,busway
BUS,2020-09,0.8629333333333333,3,busway
BUS,2020-10,0.8663333333333334,3,busway
BUS,2020-11,0.89405,2,busway
BUS,2020-12,0.8516333333333334,3,busway
BUS,2021-01,0.8574,3,busway
BUS,2021-02,0.8607,3,busway
BUS,2021-03,0.8753000000000001,3,busway
BUS,2021-04,0.8763,3,busway
BUS,2021-05,0.8708999999999999,3,busway
BUS,2021-06,0.8702666666666667,3,busway
BUS,2021-07,0.8788999999999999,3,busway
BUS,2021-08,0.8654999999999999,3,busway
BUS,2021-09,0.8420333333333333,3,busway
BUS,2021-10,0.8454333333333333,3,busway
BUS,2021-11,0.8559333333333333,3,busway
BUS,2021-12,0.8687999999999999,3,busway
BUS,2022-01,0.8667333333333334,3,busway
BUS,2022-02,0.8499333333333334,3,busway
BUS,2022-03,0.8563333333333333,3,busway
BUS,2022-04,0.8619666666666667,3,busway
BUS,2022-05,0.8778333333333332,3,busway
BUS,2022-06,0.8774000000000001,3,busway
BUS,2022-07,0.8562333333333333,3,busway
BUS,2022-08,0.8447999999999999,3,busway
BUS,2022-09,0.7592666666666666,3,busway
BUS,2022-10,0.8286666666666666,3,busway
BUS,2022-11,0.8128000000000001,3,busway
BUS,2022-12,0.8451,3,busway
BUS,2023-01,0.8690666666666665,3,busway
BUS,2023-02,0.8516666666666667,3,busway
BUS,2023-03,0.8325,3,busway
BUS,2023-04,0.8200666666666666,3,busway
BUS,2023-05,0.7977333333333334,3,busway
BUS,2023-06,0.8208333333333333,3,busway
BUS,2023-07,0.8157666666666668,3,busway
BUS,2023-08,0.8039999999999999,3,busway
BUS,2023-09,0.8299,3,busway
BUS,2023-10,0.8371666666666666,3,busway
BUS,2023-11,0.8575666666666667,3,busway
BUS,2023-12,0.8497666666666667,3,busway
BUS,2024-01,0.8461666666666666,3,busway
BUS,2024-02,0.8361000000000001,3,busway
BUS,2024-03,0.8344,3,busway
BUS,2024-04,0.8377,3,busway
BUS,2024-05,0.8050333333333333,3,busway
BUS,2024-06,0.8010333333333334,3,busway
BUS,2024-07,0.7942333333333332,3,busway
BUS,2024-08,0.7873,3,busway
BUS,2024-09,0.8025333333333333,3,busway
BUS,2024-10,0.7828666666666666,3,busway
BUS,2024-11,0.8309666666666665,3,busway
BUS,2024-12,0.8494,3,busway
BUS,2025-01,0.8455666666666666,3,busway
BUS,2025-02,0.8653333333333334,3,busway
BUS,2025-03,0.8743333333333333,3,busway
BUS,2025-04,0.8538,3,busway
BUS,2025-05,0.8506333333333332,3,busway
BUS,2025-06,0.8560666666666666,3,busway
BUS,2025-07,0.7955333333333333,3,busway
BUS,2025-08,0.7931666666666667,3,busway
BUS,2025-09,0.7991666666666667,3,busway
BUS,2025-10,0.8310333333333334,3,busway
BUS,2025-11,0.8666666666666667,3,busway
BUS,2019-01,0.6149,1,express
BUS,2019-02,0.6209,1,express
BUS,2019-03,0.6629,1,express
BUS,2019-04,0.6341,1,express
BUS,2019-05,0.6342,1,express
BUS,2019-06,0.6204,1,express
BUS,2019-07,0.5947,1,express
BUS,2019-08,0.5617,1,express
BUS,2019-09,0.5404,1,express
BUS,2019-10,0.5425,1,express
BUS,2019-11,0.5497,1,express
BUS,2019-12,0.6316,1,express
BUS,2020-01,0.6764,1,express
BUS,2020-02,0.6579,1,express
BUS,2020-03,0.6849,1,express
BUS,2020-04,0.671,1,express
BUS,2020-05,0.7073,1,express
BUS,2020-06,0.6752,1,express
BUS,2020-07,0.6958,1,express
BUS,2020-08,0.6951,1,express
BUS,2020-09,0.6649,1,express
BUS,2020-10,0.6697,1,express
BUS,2020-11,0.6688,1,express
BUS,2020-12,0.6595,1,express
BUS,2021-01,0.6792,1,express
BUS,2021-02,0.6444,1,express
BUS,2021-03,0.6448,1,express
BUS,2021-04,0.5976,1,express
BUS,2021-05,0.5653,1,express
BUS,2021-06,0.5805,1,express
BUS,2021-07,0.6345,1,express
BUS,2021-08,0.5945,1,express
BUS,2021-09,0.5849,1,express
BUS,2021-10,0.5928,1,express
BUS,2021-11,0.6314,1,express
BUS,2021-12,0.6747,1,express
BUS,2022-01,0.7054,1,express
BUS,2022-02,0.6576,1,express
BUS,2022-03,0.6371,1,express
BUS,2022-04,0.6261,1,express
BUS,2022-05,0.6293,1,express
BUS,2022-06,0.66,1,express
BUS,2022-07,0.6654,1,express
BUS,2022-08,0.6241,1,express
BUS,2022-09,0.5521,1,express
BUS,2022-10,0.574,1,express
BUS,2022-11,0.552,1,express
BUS,2022-12,0.6287,1,express
BUS,2023-01,0.6633,1,express
BUS,2023-02,0.6472,1,express
BUS,2023-03,0.6272,1,express
BUS,2023-04,0.5992,1,express
BUS,2023-05,0.576,1,express
BUS,2023-06,0.5827,1,express
BUS,2023-07,0.5852,1,express
BUS,2023-08,0.5846,1,express
BUS,2023-09,0.5801,1,express
BUS,2023-10,0.6049,1,express
BUS,2023-11,0.6044,1,express
BUS,2023-12,0.6039,1,express
BUS,2024-01,0.6264,1,express
BUS,2024-02,0.6104,1,express
BUS,2024-03,0.5883,1,express
BUS,2024-04,0.5738,1,express
BUS,2024-05,0.5769,1,express
BUS,2024-06,0.609,1,express
BUS,2024-07,0.5963,1,express
BUS,2024-08,0.59,1,express
BUS,2024-09,0.6113,1,express
BUS,2024-10,0.6033,1,express
BUS,2024-11,0.6152,1,express
BUS,2024-12,0.6175,1,express
BUS,2025-01,0.6108,1,express
BUS,2025-02,0.6308,1,express
BUS,2025-03,0.6513,1,express
BUS,2025-04,0.6107,1,express
BUS,2025-05,0.6007,1,express
BUS,2025-06,0.573,1,express
BUS,2025-07,0.5443,1,express
BUS,2025-08,0.5181,1,express
BUS,2025-09,0.5321,1,express
BUS,2025-10,0.5498,1,express
BUS,2025-11,0.6121,1,express
BUS,2019-01,0.6939529411764706,17,flyer
BUS,2019-02,0.6886882352941176,17,flyer
BUS,2019-03,0.7134588235294118,17,flyer
BUS,2019-04,0.6347117647058824,17,flyer
BUS,2019-05,0.5815764705882354,17,flyer
BUS,2019-06,0.6104117647058823,17,flyer
BUS,2019-07,0.6758823529411765,17,flyer
BUS,2019-08,0.6868941176470588,17,flyer
BUS,2019-09,0.6587529411764707,17,flyer
BUS,2019-10,0.6714588235294118,17,flyer
BUS,2019-11,0.6251176470588236,17,flyer
BUS,2019-12,0.6793941176470588,17,flyer
BUS,2020-01,0.7048764705882353,17,flyer
BUS,2020-02,0.6940705882352941,17,flyer
BUS,2020-03,0.7351941176470589,17,flyer
BUS,2020-04,0.6960411764705883,17,flyer
BUS,2020-05,0.6985470588235294,17,flyer
BUS,2020-06,0.6794941176470588,17,flyer
BUS,2020-07,0.6888470588235294,17,flyer
BUS,2020-08,0.6924058823529412,17,flyer
BUS,2020-09,0.687835294117647,17,flyer
BUS,2020-10,0.6928882352941176,17,flyer
BUS,2020-11,0.68361,10,flyer
BUS,2020-12,0.679364705882353,17,flyer
BUS,2021-01,0.6938529411764707,17,flyer
BUS,2021-02,0.6823470588235294,17,flyer
BUS,2021-03,0.7114529411764705,17,flyer
BUS,2021-04,0.7246529411764706,17,flyer
BUS,2021-05,0.7232411764705882,17,flyer
BUS,2021-06,0.7128470588235294,17,flyer
BUS,2021-07,0.7305529411764705,17,flyer
BUS,2021-08,0.7279117647058824,17,flyer
BUS,2021-09,0.6736352941176471,17,flyer
BUS,2021-10,0.6970470588235295,17,flyer
BUS,2021-11,0.7025235294117647,17,flyer
BUS,2021-12,0.6956411764705883,17,flyer
BUS,2022-01,0.69621875,16,flyer
BUS,2022-02,0.7047588235294118,17,flyer
BUS,2022-03,0.6828117647058823,17,flyer
BUS,2022-04,0.6718058823529411,17,flyer
BUS,2022-05,0.6825176470588236,17,flyer
BUS,2022-06,0.6843176470588235,17,flyer
BUS,2022-07,0.7062352941176471,17,flyer
BUS,2022-08,0.668635294117647,17,flyer
BUS,2022-09,0.6221,17,flyer
BUS,2022-10,0.6754941176470588,17,flyer
BUS,2022-11,0.6766235294117646,17,flyer
BUS,2022-12,0.7022294117647059,17,flyer
BUS,2023-01,0.703864705882353,17,flyer
BUS,2023-02,0.7068411764705883,17,flyer
BUS,2023-03,0.6974235294117647,17,flyer
BUS,2023-04,0.6708647058823529,17,flyer
BUS,2023-05,0.6492411764705883,17,flyer
BUS,2023-06,0.6266294117647059,17,flyer
BUS,2023-07,0.6387529411764706,17,flyer
BUS,2023-08,0.6397176470588235,17,flyer
BUS,2023-09,0.6461588235294118,17,flyer
BUS,2023-10,0.6621705882352941,17,flyer
BUS,2023-11,0.6800588235294117,17,flyer
BUS,2023-12,0.6893588235294118,17,flyer
BUS,2024-01,0.7014529411764706,17,flyer
BUS,2024-02,0.7052352941176471,17,flyer
BUS,2024-03,0.7233470588235295,17,flyer
BUS,2024-04,0.6805470588235294,17,flyer
BUS,2024-05,0.6483941176470589,17,flyer
BUS,2024-06,0.6611529411764705,17,flyer
BUS,2024-07,0.6847647058823529,17,flyer
BUS,2024-08,0.6805882352941177,17,flyer
BUS,2024-09,0.6789294117647059,17,flyer
BUS,2024-10,0.6067941176470588,17,flyer
BUS,2024-11,0.6562470588235294,17,flyer
BUS,2024-12,0.6576,17,flyer
BUS,2025-01,0.6761647058823529,17,flyer
BUS,2025-02,0.6840529411764705,17,flyer
BUS,2025-03,0.6770058823529412,17,flyer
BUS,2025-04,0.6713764705882354,17,flyer
BUS,2025-05,0.6180882352941177,17,flyer
BUS,2025-06,0.6600294117647059,17,flyer
BUS,2025-07,0.6580588235294117,17,flyer
BUS,2025-08,0.6580529411764706,17,flyer
BUS,2025-09,0.6642625,16,flyer
BUS,2025-10,0.6663411764705882,17,flyer
BUS,2025-11,0.6953470588235294,17,flyer
BUS,2019-01,0.71205,4,limited
BUS,2019-02,0.7055,4,limited
BUS,2019-03,0.713325,4,limited
BUS,2019-04,0.684125,4,limited
BUS,2019-05,0.683475,4,limited
BUS,2019-06,0.67215,4,limited
BUS,2019-07,0.72955,4,limited
BUS,2019-08,0.713225,4,limited
BUS,2019-09,0.65945,4,limited
BUS,2019-10,0.653875,4,limited
BUS,2019-11,0.629525,4,limited
BUS,2019-12,0.68145,4,limited
BUS,2020-01,0.719975,4,limited
BUS,2020-02,0.690275,4,limited
BUS,2020-03,0.736275,4,limited
BUS,2020-04,0.68625,4,limited
BUS,2020-05,0.66305,4,limited
BUS,2020-06,0.6324000000000001,4,limited
BUS,2020-07,0.636,4,limited
BUS,2020-08,0.660775,4,limited
