route_id,route_name,mode,avg_otp,weighted_lanes,weighted_func_cls,weighted_speed,arterial_share,divided_share,avg_truck_pct,match_rate,n_segments,stop_count,span_km
P17,LINCOLN PARK FLYER,BUS,0.689380487804878,2.202243057396517,3.903169673144516,30.595901170096262,0.7050428215130088,0.27347338465783366,4.784120830764955,0.5133446905167518,96,177,12.69086876843747
61C,MCKEESPORT-HOMESTEAD,BUS,0.5677506024096386,2.188336835235238,3.332938262573299,30.331827982052786,0.8259815592398597,0.3715057290227196,5.4030258323521485,0.9378004807692307,179,158,16.462887597685608
6,SPRING HILL,BUS,0.7247855421686747,2.187865644009521,2.830710942534173,37.592427295281176,0.8613911663581063,0.4019994710394076,5.592392491806535,0.4373650107991361,64,80,4.8477882512128785
21,CORAOPOLIS,BUS,0.7360734939759036,2.180347858861089,2.8247674030943504,35.7733513454563,0.9033984044459717,0.5644300088313435,7.471628057348205,0.9702038682697334,143,133,20.236530514416152
G2,WEST BUSWAY,BUS,0.8168280487804878,2.175135135135135,2.9864618128827773,34.626498405609745,0.8532655964234912,0.40525096525096527,6.75924901308632,0.4811940298507463,81,24,8.890523063033768
RED,Castle Shannon via Beechview,RAIL,0.827620987654321,2.172611417796084,3.225664279784849,32.29674216524738,0.8030626719762096,0.33103746873807205,5.400186002249329,0.31265508684863524,108,59,12.628217675640576
O5,THOMPSON RUN FLYER VIA 279,BUS,0.6921698795180723,2.1724,2.7842243374860587,38.68111293154134,0.8027392,0.3881472,4.296946178116579,0.7528506271379704,177,127,16.16884707272886
8,PERRYSVILLE,BUS,0.7659469879518073,2.170144746609083,3.1913613175527913,35.566929760290584,0.9016634050880626,0.1979300222687091,5.137653290762644,0.6650660264105642,70,119,8.943429869971231
39,BROOKLINE,BUS,0.789404938271605,2.169707782553456,3.6311858995108937,30.022314172106178,0.6289658403842169,0.22294307932131305,5.691764552407147,0.6372299872935197,64,69,6.419222994940436
29,ROBINSON,BUS,0.6510407407407407,2.1667950398225626,2.903196687488814,36.36421741656236,0.8454884564976308,0.40264139530194576,7.717797901999719,0.7709102091020911,146,131,17.067718520592095
69,TRAFFORD,BUS,0.6026573170731707,2.164810518373937,3.2486991146862825,32.495525766623125,0.8643513952655987,0.3919000692675918,5.5045981163997695,0.873137179977073,222,209,22.574311709378655
P69,TRAFFORD FLYER,BUS,0.6454650602409638,2.164611389161206,3.2882936903742626,34.001035504729735,0.8254691020415184,0.3715623548836489,5.6594385557561155,0.5907247845919918,122,128,22.574311709378655
13,BELLEVUE,BUS,0.712666265060241,2.1610700179533215,3.5264519208941025,33.59803267514385,0.733113105924596,0.2749658886894075,5.500071933475922,0.7668763102725367,88,133,9.35692555158862
36,BANKSVILLE,BUS,0.7328187500000001,2.1610023082597625,2.781908641280485,35.82734622427015,0.9314803797920187,0.5740951383766033,4.454979356492028,0.8747169811320755,105,78,12.14128048404031
P68,BRADDOCK HILLS FLYER,BUS,0.6795807228915662,2.155230737444245,3.528908764417177,33.05510994461156,0.7854593479960622,0.2756169000846706,5.235315343430305,0.5170933375735411,115,175,21.088131221771317
89,GARFIELD COMMONS,BUS,0.722351219512195,2.1542784737691854,3.724141721128303,29.337988299272595,0.7820604524738918,0.3022010586335861,3.910698739238384,0.5297549591598599,29,54,3.067484551879533
51,CARRICK,BUS,0.7006710843373495,2.1533407998913954,3.5183002622631308,32.50958322964621,0.8035325546779926,0.4156691054190727,5.153863299898531,0.8633879781420765,98,141,12.104660004294889
P71,SWISSVALE FLYER,BUS,0.6818679012345679,2.150832532087969,3.3255224151636256,30.53176981714134,0.7079727729194328,0.198632541245059,4.893454114652581,0.3063451047947172,78,111,10.76040911938259
60,MCKEESPORT - WALNUT,BUS,0.7833819277108435,2.145804395783969,3.5998925702847364,30.947842157488434,0.8440368221804614,0.29275267587221177,5.484445289837843,0.7997043606799704,42,88,5.058923463300133
82,LINCOLN,BUS,0.6079463414634146,2.1414438118332324,3.6361656312498547,28.523110282950622,0.7538920172242465,0.15414325623253983,4.728592647047792,0.946949602122016,113,136,10.139159614402985
P76,LINCOLN HIGHWAY FLYER,BUS,0.6996135802469136,2.137187172387839,3.243265607162759,35.605436881747174,0.8829332544824063,0.4985282653692105,5.335938673207428,0.6764163979732842,155,100,20.75113983556403
