route_id,route_name,mode,baseline_otp,baseline_months,current_otp,current_months,stop_count,recovery_delta,recovery_ratio,subtype
8,PERRYSVILLE,BUS,0.7294285714285714,14,0.7555,12,119,0.026071428571428523,1.0357422640031335,local
22,MCCOY,BUS,0.7189,14,0.74542,10,65,0.026519999999999988,1.036889692585895,local
71,EDGEWOOD TOWN CENTER,BUS,0.6564857142857142,14,0.6865833333333334,12,95,0.030097619047619206,1.0458465712088902,local
2,MOUNT ROYAL,BUS,0.6141357142857142,14,0.6447666666666666,12,187,0.03063095238095237,1.0498765202355613,local
43,BAILEY,BUS,0.7869142857142857,14,0.8177700000000001,10,65,0.03085571428571443,1.0392110231646214,local
P76,LINCOLN HIGHWAY FLYER,BUS,0.6487357142857143,14,0.67965,12,100,0.030914285714285672,1.0476531275117535,flyer
P68,BRADDOCK HILLS FLYER,BUS,0.6405571428571429,14,0.6719583333333333,12,175,0.03140119047619039,1.049021684991488,flyer
39,BROOKLINE,BUS,0.7945214285714286,14,0.8264900000000001,10,69,0.03196857142857146,1.0402362608218785,local
77,PENN HILLS,BUS,0.5744,14,0.6065333333333333,12,258,0.032133333333333236,1.0559424326833795,local
88,PENN,BUS,0.6090714285714285,14,0.647225,12,70,0.038153571428571564,1.0626421953793834,local
P1,EAST BUSWAY-ALL STOPS,BUS,0.8000857142857143,14,0.8388333333333334,12,24,0.03874761904761914,1.0484293349522076,busway
G3,MOON FLYER,BUS,0.7262000000000001,14,0.7686333333333333,12,34,0.04243333333333321,1.0584320205636646,flyer
51L,CARRICK LIMITED,BUS,0.6986142857142857,14,0.7477,12,50,0.04908571428571429,1.070261538146944,limited
89,GARFIELD COMMONS,BUS,0.6492714285714286,14,0.7002499999999999,12,54,0.05097857142857132,1.0785165790226405,local
24,WEST PARK,BUS,0.6774500000000001,14,0.73196,10,98,0.05450999999999995,1.0804635028415381,local
86,LIBERTY,BUS,0.6016214285714286,14,0.6577333333333334,12,142,0.05611190476190475,1.093267796154044,local
O5,THOMPSON RUN FLYER VIA 279,BUS,0.6630714285714285,14,0.7265583333333333,12,127,0.06348690476190477,1.0957467054472334,flyer
P69,TRAFFORD FLYER,BUS,0.5519857142857143,14,0.620375,12,128,0.06838928571428571,1.1238968399803306,flyer
36,BANKSVILLE,BUS,0.6929571428571428,14,0.7665200000000001,10,78,0.07356285714285726,1.106157874121261,local
29,ROBINSON,BUS,0.5893285714285714,14,0.6712,10,131,0.0818714285714286,1.1389232298257097,local
38,GREEN TREE,BUS,0.6713428571428571,14,0.75518,10,131,0.08383714285714283,1.1248797718857726,local
71D,HAMILTON,BUS,0.6288214285714285,14,0.7141583333333333,12,93,0.08533690476190481,1.1357092822930275,local
41,BOWER HILL,BUS,0.6917642857142857,14,0.78096,10,138,0.08919571428571427,1.1289394612120147,local
31,BRIDGEVILLE,BUS,0.6596428571428571,14,0.75358,10,128,0.09393714285714294,1.1424060638873852,local
G31,BRIDGEVILLE FLYER,BUS,0.7183285714285714,14,0.8129583333333333,12,78,0.09462976190476191,1.131736040676438,flyer
O1,ROSS FLYER,BUS,0.6568642857142857,14,0.7670416666666666,12,7,0.11017738095238094,1.1677323358090206,flyer
P78,OAKMONT FLYER,BUS,0.5913857142857143,14,0.7036333333333333,12,149,0.11224761904761904,1.1898044141684985,flyer
21,CORAOPOLIS,BUS,0.6778857142857142,14,0.8022,12,133,0.12431428571428582,1.1833853156874317,local
G2,WEST BUSWAY,BUS,0.7536785714285715,14,0.8839833333333331,12,24,0.1303047619047616,1.1728916899650914,busway
P7,MCKEESPORT FLYER,BUS,0.5870714285714286,14,0.7576583333333334,12,101,0.17058690476190486,1.2905726568520097,flyer
