stop_id,avg_ons,avg_offs,stop_name,lat,lon,shelter,mode,stop_type,avg_daily_usage,has_shelter
E10060,3.5272727272727247,1.25681818181818,BRINTON RD OPP BRINTON MANOR DR FS,40.4114,-79.8521,No Shelter,Bus,Bus Stop,4.784090909090905,false
S27680,0.33409089999999997,4.731818,KNOX AVE AT ROCHELLE ST,40.4152,-79.9906,No Shelter,Bus,Bus Stop,5.065908899999999,false
E51430,0.12272727500000001,2.9295455,SHADY AVE AT PHILLIPS AVE,40.4324,-79.9183,No Shelter,Bus,Bus Stop,3.052272775,false
W11735,0.0,2.0886365000000002,LINDSAY RD AT WYNNECLIFF DR #2,40.3838,-80.0803,No Shelter,Bus,Bus Stop,2.0886365000000002,false
E25363,0.125,0.12272727500000001,GREENFIELD AVE OPP HAYWORTH ST,40.4252,-79.9454,No Shelter,Bus,Bus Stop,0.24772727500000002,false
E46200,152.0909095,53.7840955,PENN AVE AT MAIN ST,40.4656,-79.9555,City of Pittsburgh,Bus,Bus Stop with Non-PAAC Shelter,205.87500500000002,true
S04410,3.6431820000000004,0.7068182000000001,ARLINGTON AVE AT FREDERICK ST,40.4176,-79.9828,No Shelter,Bus,Bus Stop,4.3500002,false
E38070,11.8386365,119.17954499999999,MAIN ST AT PENN AVE NS,40.4655,-79.9548,No Shelter,Bus,Bus Stop,131.0181815,false
S13680,2.39318181818182,3.588636363636365,CRAWFORD AVE AT CATHERINE ST,40.3643,-79.8478,No Shelter,Bus,Bus Stop,5.981818181818185,false
N71275,0.30681820000000004,50.4568159,BETA DR AT ALPHA DR FS,40.4959,-79.8673,No Shelter,Bus,Bus Stop,50.763634100000004,false
W00530,2.372727272727275,0.49772727272727246,5TH AVE AT OFFICE BLDG,40.5149,-80.1576,No Shelter,Bus,Bus Stop,2.8704545454545474,false
X09320,2.165909,0.0,LABELLE ST OPP SYCAMORE ST,40.4333,-80.0163,No Shelter,Bus,Bus Stop,2.165909,false
X00750,1.465909,3.1272725,BANKSVILLE RD AT WENZELL AVE,40.4068,-80.0342,No Shelter,Bus,Bus Stop,4.5931815,false
X15150,22.0931818181818,0.3704545454545455,RAILROAD ST AT STATION ST FS,40.3582,-80.1104,No Shelter,Bus,Bus Stop,22.463636363636347,false
S19270,0.125,1.1886363636363648,GARDENVILLE RD OPP CHARLOTTE DR,40.3458,-80.007,No Shelter,Bus,Bus Stop,1.3136363636363648,false
N05890,0.0,0.0,ANDERSON ST AT ISABELLA ST,40.4483,-80.0007,No Shelter,Bus,Bus Stop,0.0,false
N25430,0.0,0.0,HEMLOCK DR AT BABCOCK BLVD,40.5872,-79.9991,No Shelter,Bus,Bus Stop,0.0,false
E70239,0.0,0.0,WASHINGTON BLVD AT SILVER LAKE DR,40.4622,-79.9056,No Shelter,Bus,Bus Stop,0.0,false
W26390,0.697727272727273,1.209090909090909,W PROSPECT AVE OPP MAINSGATE ST,40.4462,-80.068,No Shelter,Bus,Bus Stop,1.906818181818182,false
N32840,5.35909090909091,0.17272727272727273,MCKNIGHT RD AT PERRYMONT RD,40.5583,-80.0236,No Shelter,Bus,Bus Stop,5.531818181818183,false
N45940,1.2,0.175,RIDGE AVE AT GALVESTON AVE,40.4502,-80.0155,No Shelter,Bus,Bus Stop,1.375,false
N12760,7.4772725,54.829544999999996,CALIFORNIA AVE AT DAVIS AVE,40.4799,-80.041,No Shelter,Bus,Bus Stop,62.306817499999994,false
E57790,20.3363655,0.6909091,WILKINS AVE OPP WORTH ST,40.4467,-79.913,No Shelter,Bus,Bus Stop,21.0272746,false
E18970,0.05,0.097727275,FIESTA DR AT #251,40.4732,-79.7082,No Shelter,Bus,Bus Stop,0.147727275,false
N22785,2.9272726000000002,27.831818499999997,FREEPORT RD OPP ST MARGARET'S DR,40.4873,-79.8956,City of Pittsburgh,Bus,Bus Stop with Non-PAAC Shelter,30.7590911,true
E70850,1.075,7.5931820000000005,HAZELWOOD AVE AT WINTERBURN AVE,40.4157,-79.939,No Shelter,Bus,Bus Stop,8.668182,false
S14760,10.861363636363635,23.427272727272737,DUQUESNE BLVD AT MILLER AVE,40.384,-79.86,No Shelter,Bus,Bus Stop,34.28863636363637,false
S08370,61.23182,91.311365,BROWNSVILLE RD AT CEDRICTON ST FS,40.405,-79.9907,No Shelter,Bus,Bus Stop,152.543185,false
W70130,0.0,0.0,HWY RT 51 AT STANFORD CT,40.4953,-80.1112,No Shelter,Bus,Bus Stop,0.0,false
X70057,1.3795455,12.647725000000001,GRANDVIEW AVE OPP COHASSETT ST,40.4379,-80.0182,No Shelter,Bus,Bus Stop,14.027270500000002,false
E29740,1.9227275,4.456818,HOMEWOOD AVE AT HAMILTON AVE,40.4547,-79.8975,No Shelter,Bus,Bus Stop,6.3795455,false
E15950,31.620453500000004,37.402270699999995,EAST LIBERTY BLVD AT DAHLEM PL,40.458,-79.9167,No Shelter,Bus,Bus Stop,69.0227242,false
S08560,41.51590909090909,1.654545454545455,BROWNSVILLE RD AT MEADOWBROOK BLVD,40.366,-79.9817,No Shelter,Bus,Bus Stop,43.17045454545455,false
