stop_id,stop_name,mode,stop_type,avg_daily_usage,avg_ons,avg_offs,lat,lon
E41330,MURRAY AVE AT PHILLIPS AVE,Bus,Bus Stop,342.59090549999996,317.93636,24.6545455,40.4322,-79.9231
W08033,GREENTREE RD AT ARLA DR FS,Bus,Bus Stop,334.1068275,2.8727275,331.2341,40.4035,-80.0581
N53540,WATERWORKS MALL OPP GIANT EAGLE,Bus,Bus Stop,333.690912,87.234092,246.45682,40.4876,-79.8938
E19800,FORBES AVE AT WIGHTMAN ST,Bus,Bus Stop,331.4795425,315.981815,15.4977275,40.4381,-79.9275
P02030,GRANT ST AT LIBERTY AVE FS (FED BLDG),Bus,Bus Stop,325.32955915,182.50001645,142.8295427,40.4433,-79.9943
E09550,BRADDOCK HILLS SHPG CTR AT GIANT EAGLE,Bus,Bus Stop,322.8204545454546,169.16136363636366,153.6590909090909,40.4145,-79.8552
E17316,EAST BUSWAY AT WILKINSBURG STATION D,Busway,Busway Station,316.07727192,7.61818197,308.45908994999996,40.4466,-79.8885
E01130,FIFTH AVE AT CRAFT AVE (CARLOW UNIV),Bus,Bus Stop,315.91364475,184.12728,131.78636475,40.4378,-79.9641
E01540,FIFTH AVE AT PRIDE ST,Bus,Bus Stop,313.92045900000005,138.7590915,175.1613675,40.4386,-79.9849
P02800,PENN AVE AT 11TH ST,Bus,Bus Stop,313.5181815,10.3431815,303.175,40.4451,-79.9936
E41200,MURRAY AVE AT FORWARD AVE,Bus,Bus Stop,311.331811,86.69090600000001,224.640905,40.4302,-79.9235
E01140,FIFTH AVE AT CRAIG ST,Bus,Bus Stop,310.15909000000005,100.256815,209.90227500000003,40.4471,-79.9488
P01330,BLVD OF ALLIES AT WOOD ST,Bus,Bus Stop,303.2704565,28.7659115,274.504545,40.4384,-80.0017
E13650,CENTRE AVE AT MOREWOOD AVE,Bus,Bus Stop,302.284095,61.58636,240.697735,40.4541,-79.9445
E15660,CRAIG ST AT BAYARD ST,Bus,Bus Stop,295.67728,90.34773,205.32955,40.4497,-79.9506
N53630,WEST VIEW PLAZA FIRE LANE AT GIANT EAGLE,Bus,Bus Stop,292.625,163.15454499999998,129.470455,40.5168,-80.0386
E15650,CRAIG ST AT BAYARD ST,Bus,Bus Stop,283.568185,212.65682,70.911365,40.4499,-79.9508
E70182,ROSS AVE AT WOOD ST FS (SAVE A LOT),Bus,Bus Stop,282.92954,222.4159055,60.513634499999995,40.4425,-79.8841
E19470,FORBES AVE AT MCANULTY DR,Bus,Bus Stop,273.818176,195.990905,77.827271,40.4379,-79.9913
P00330,SECOND AVE OPP MUNICIPAL COURTS DR FS,Bus,Bus Stop,272.7045465,21.288636500000003,251.41591,40.436,-79.9955
E13630,CENTRE AVE AT MILLVALE AVE,Bus,Bus Stop,271.079545,193.63864,77.440905,40.4534,-79.9472
P01936,GRANT ST AT OLIVER AVE,Bus,Bus Stop,270.929543675,61.4909064,209.438637275,40.4402,-79.9963
P02080,GRANT ST AT STRAWBERRY WAY (US STEEL TOWER,Bus,Bus Stop,269.42272305,59.69318125,209.7295418,40.4416,-79.9955
S33262,MCKEESPORT TRANSPORTATION CENT AT BAY #2,Bus,Bus Stop,269.090909090909,109.1090909090909,159.98181818181808,40.3523,-79.8606
W07585,CRAFTON INGRAM SC AT GIANT EAGLE,Bus,Bus Stop,264.5181818181818,156.89090909090908,107.62727272727275,40.4408,-80.0718
E41240,MURRAY AVE AT HOBART ST,Bus,Bus Stop,264.19091000000003,41.83409,222.35682,40.4339,-79.923
S08140,BROWNSVILLE RD AT BAUSMAN ST FS,Bus,Bus Stop,263.865889,121.993159,141.87273,40.4141,-79.9883
S30810,LYSLE BLVD OPP COURSIN ST,Bus,Bus Stop,263.1772727272727,66.6477272727273,196.52954545454537,40.3523,-79.8565
E41230,MURRAY AVE AT HOBART ST,Bus,Bus Stop,262.565909,235.6,26.965909,40.4336,-79.9229
