stop_id,stop_name,lat,lon,mode,pre_usage,post_usage,abs_change,pct_change,zone,dist_from_dt_km
X18780,VIRGINIA AVE AT KEARSARGE ST,40.4311,-80.0102,Bus,6.6363635,3.414502,-3.2218614999999997,-48.54859894277943,Downtown (< 2 km),1.6064328187340882
S70356,EAST PITTSBURGH-MCKEESPORT BLV AT ORRIS RD,40.3691,-79.8308,Bus,4.0113635,1.09307355,-2.91828995,-72.75057346460873,Outer ring (> 8 km),16.082180210880008
S08670,BROWNSVILLE RD AT KAUFMANN AVE FS,40.3691,-79.9758,Bus,11.218181818181819,8.203463203463198,-3.014718614718621,-26.87350466929079,Outer ring (> 8 km),8.130560522597884
W02780,BROADWAY AVE OPP WAYNE AVE,40.4692,-80.069,Bus,37.98409090909093,18.05519480519477,-19.92889610389616,-52.46642904155032,Inner ring (2-8 km),6.954690120734647
S70327,STATE ST OPP MONTOUR TRAIL,40.3055,-79.8839,Bus,0.05,0.0,-0.05,-100.0,Outer ring (> 8 km),17.767751378973244
E70143,HWY RT 286 AT ROYAL OAKS SHOPPING CENTER DRV,40.444,-79.7135,Bus,12.861362275,1.04978345,-11.811578825,-91.83769629100196,Outer ring (> 8 km),23.901353242381546
E41866,NEGLEY AVE AT KENTUCKY AVE,40.4506,-79.9301,Bus,34.468180000000004,16.338746,-18.129434000000003,-52.59759581155722,Inner ring (2-8 km),5.678057536628378
N13080,CALIFORNIA AVE AT TERMON AVE FS,40.4816,-80.0416,Bus,54.06818,25.890693,-28.177487,-52.114731807136835,Inner ring (2-8 km),5.977698041155943
W70164,GRAND AVE OPP #3000 (HOLDEN CORP),40.5053,-80.1048,Bus,0.07272727500000001,0.501082275,0.42835500000000004,588.9881065941216,Outer ring (> 8 km),11.688071015069047
E00970,FIFTH AVE AT BELLEFIELD AVE,40.4467,-79.9517,Bus,445.275,62.930735750000004,-382.34426425,-85.86699550839369,Inner ring (2-8 km),3.801396167983649
N36570,MT ROYAL BLVD AT KLEBER RD,40.5356,-79.9704,Bus,1.486363625,0.481601725,-1.0047619,-67.59866045564725,Outer ring (> 8 km),10.781389709802625
S17070,ELIZA ST AT DIVISION ST,40.3946,-79.8796,Bus,3.1386365,1.305194645,-1.833441855,-58.41523397182185,Outer ring (> 8 km),11.094998728086624
E55530,VERONA RD AT MAPLE AVE,40.48,-79.8393,Bus,2.5818182999999997,0.7077922000000001,-1.8740260999999996,-72.5855146351701,Outer ring (> 8 km),13.954445280818478
N14580,N CHARLES ST AT KIMBERLIN WAY,40.4698,-80.014,Bus,3.436364,5.6320345,2.1956704999999994,63.89516651902998,Inner ring (2-8 km),3.58993076287265
W22000,STEUBEN ST OPP LORENZ AVE,40.4428,-80.0425,Bus,30.4704555,13.90584445,-16.56461105,-54.36285995133876,Inner ring (2-8 km),3.9511853328499216
W07915,GRAND AVE OPP TRIAD METALS,40.5079,-80.1116,Bus,0.05,0.0681818,0.018181799999999998,36.3636,Outer ring (> 8 km),12.31983935075561
N52640,TROY HILL RD OPP N CATHOLIC HIGH SCHOOL,40.4603,-79.985,Bus,1.909091,0.9058442,-1.0032468,-52.551020354713316,Inner ring (2-8 km),2.3767885173171006
E57660,WILKINS AVE AT WIGHTMAN ST,40.4441,-79.9277,Bus,37.66591149999999,7.87987085,-29.786040649999993,-79.0795694669436,Inner ring (2-8 km),5.784593307856011
X02190,BOWER HILL RD AT MARLIN DR,40.3858,-80.05,Bus,8.961363500000001,1.1872294,-7.774134100000001,-86.75168795462879,Inner ring (2-8 km),7.622937217243191
E57340,WIGHTMAN ST AT BEACON ST,40.434,-79.9276,Bus,11.759090899999999,1.0714285250000002,-10.687662374999999,-90.88850886423542,Inner ring (2-8 km),5.826784769185455
E41180,MURRAY AVE AT FORBES AVE,40.4383,-79.923,Bus,61.170456,27.523807,-33.646649,-55.004737908116944,Inner ring (2-8 km),6.174792983786111
E59370,WOOD ST AT HILL AVE,40.446,-79.8834,Bus,37.33636165,15.61580125,-21.7205604,-58.175353569835586,Outer ring (> 8 km),9.539195808883507
W00390,4TH AVE AT THORN ST,40.5225,-80.1744,Bus,2.386363636363635,0.8452380952380965,-1.5411255411255385,-64.58049886621308,Outer ring (> 8 km),17.630981789905622
X07080,GREENLEAF ST AT FINGAL ST,40.439,-80.0272,Bus,4.3795452500000005,1.887446,-2.4920992500000008,-56.903151074874735,Inner ring (2-8 km),2.654859247788013
E21240,FRANKSTOWN RD OPP FRANKSTOWN GARDENS,40.4637,-79.8512,Bus,1.718182045,0.44047620000000004,-1.277705845,-74.36382243186577,Outer ring (> 8 km),12.510116106574003
N23584,BRIGHTON RD AT GIANT EAGLE LOWER LOT,40.4897,-80.0445,Bus,2.6431818500000004,4.30952375,1.6663419,63.04302899174341,Inner ring (2-8 km),6.834603655499559
