stop_id,avg_ons,avg_offs,stop_name,lat,lon,direction,mode,net_flow,total_usage,flow_type,on_off_ratio
S70437,0.997727272727275,0.6977272727272725,CUSTER AVE AT JOSEPH ST,40.3945,-79.9702,Inbound,Bus,0.3000000000000025,1.6954545454545475,Generator,1.4299674267101015
P00660,19.88636395,49.075,FIFTH AVE OPP DIAMOND ST,40.4389,-79.9925,Inbound,Bus,-29.188636050000003,68.96136395,Attractor,0.40522392154865
E30385,0.025,1.893182,HWY RT 286 AT KANE RD (YMCA),40.4578,-79.7085,Outbound,Bus,-1.868182,1.9181819999999998,Attractor,0.013205280844630893
E70282,13.709091,42.393181999999996,CENTRE AVE AT WHOLE FOODS,40.459,-79.9281,Outbound,Bus,-28.684090999999995,56.102273,Attractor,0.3233796179772493
N33675,9.08409090909091,0.8772727272727275,MERCHANT ST OPP VALLEY RD,40.5799,-80.2216,Inbound,Bus,8.206818181818184,9.961363636363638,Generator,10.354922279792746
E59630,7.956818,2.095454625,WOODSTOCK AVE AT MELROSE ST,40.4171,-79.8808,Inbound,Bus,5.861363375,10.052272625,Generator,3.7971798124714824
N28130,0.09318180000000001,2.790909,IVORY AVE AT EVERGREEN & PEOPLES PLANK RD,40.4961,-80.0076,Outbound,Bus,-2.6977272,2.8840908,Attractor,0.033387616722723674
S70458,6.7681817749999995,1.0818184,CAMP HOLLOW RD AT LIVINGSTON RD FS,40.3466,-79.9262,Both,Bus,5.686363374999999,7.850000175,Generator,6.256301219317401
E70280,0.5318181500000001,1.22272725,UNITY TRESTLE RD AT SALTSBURG RD,40.4776,-79.7595,Both,Bus,-0.6909090999999998,1.7545454,Attractor,0.43494421998037597
E04670,4.0090905,0.822727275,BAKER ST AT GALLATIN ST,40.4875,-79.9217,Inbound,Bus,3.186363225,4.831817775,Generator,4.872927666096885
N12440,1.8863636363636374,3.2090909090909108,BUTLER ST AT ISABELLA ST,40.4943,-79.9466,Outbound,Bus,-1.3227272727272734,5.095454545454548,Attractor,0.5878186968838527
E52430,1.740909,1.3363635,SOUTH AVE AT MULBERRY ST,40.4416,-79.8843,Outbound,Bus,0.4045455,3.0772725000000003,Generator,1.3027211533388932
E46090,2.60454525,34.613635,PENN AVE AT HOMEWOOD AVE,40.4492,-79.9015,Outbound,Bus,-32.00908975,37.21818025,Attractor,0.07524622161180125
E70020,12.002275000000001,19.811365000000002,CENTRE AVE AT DITHRIDGE ST,40.4514,-79.9534,Outbound,Bus,-7.809090000000001,31.813640000000003,Attractor,0.6058277660322748
E55410,3.2545455,0.27954545,VERONA RD AT ARTHUR DR,40.485,-79.8374,Inbound,Bus,2.97500005,3.53409095,Generator,11.642276774671167
S70432,0.047727275,13.275000200000001,LEBANON RD OPP SOUTH HILLS INDUSTRIAL PARK,40.3596,-79.9337,Outbound,Bus,-13.227272925000001,13.322727475,Attractor,0.0035952748987529205
E29980,0.7227272499999999,3.9045455000000002,HOMEWOOD AVE AT THOMAS BLVD,40.4509,-79.9001,Inbound,Bus,-3.18181825,4.62727275,Attractor,0.1850989442945408
S24285,0.4772727272727275,0.6454545454545455,HWY RT 51 OPP BLUE FLAME,40.3048,-79.9335,Inbound,Bus,-0.168181818181818,1.122727272727273,Attractor,0.7394366197183102
E70761,0.07272727500000001,0.0,BUTLER ST AT GALLATIN ST,40.4882,-79.9217,Inbound,Bus,0.07272727500000001,0.07272727500000001,Generator,
S01290,74.63863636363637,13.952272727272712,2ND ST AT GRANT AVE,40.373,-79.8469,Inbound,Bus,60.68636363636365,88.59090909090908,Generator,5.349568333604828
S16570,358.506825,50.9863615,E CARSON ST AT STATION SQUARE STATION,40.4318,-80.0035,Outbound,Bus,307.5204635,409.4931865,Generator,7.03142594319071
S23025,0.05,1.6,HOMEVILLE RD AT DUQUESNE VILLAGE ENTRANCE #1,40.3669,-79.8716,Outbound,Bus,-1.55,1.6500000000000001,Attractor,0.03125
