stop_id,avg_daily_usage,stop_name,pct_stops,cum_pct_ridership
E19130,1051.02950165,FORBES AVE AT ATWOOD ST,0.6102098526566453,28.37943397518249
E13795,1050.352295,CENTRE AVE AT NEGLEY AVE (MARKET DISTRICT),0.6250930197946123,28.783719087550864
E17297,1045.3613177500001,EAST BUSWAY AT WILKINSBURG STATION C,0.6399761869325792,29.186083151326343
P02600,1044.73864574,LIBERTY AVE OPP 9TH ST,0.6548593540705462,29.588207545969166
E17303,1028.077285,EAST BUSWAY AT EAST LIBERTY STATION A,0.6697425212085132,29.983918911258844
P02650,979.131759375,LIBERTY AVE AT WYNDHAM GRAND HOTEL,0.6846256883464802,30.36079093338582
P00860,951.429478,SEVENTH AVE AT WILLIAM PENN PL,0.6995088554844471,30.727000228357483
E19870,918.0818518,FORBES AVE OPP CRAIG ST,0.714392022622414,31.080373878689084
P00940,914.4000455,7TH ST AT PENN AVE FS,0.729275189760381,31.432330385952785
P02320,889.5568145,LIBERTY AVE AT TITO WAY,0.7441583568983479,31.77472462683763
P70019,822.5841085000001,SIXTH AVE AT CENTRE AVE,0.7590415240363149,32.09134078535934
P00600,818.6818152999999,FIFTH AVE AT SMITHFIELD ST,0.7739246911742819,32.40645493445777
E19200,786.731818,FORBES AVE AT BIGELOW BLVD (SCHENLEY DR),0.7888078583122488,32.70927139228624
E19650,783.772755,FORBES AVE AT MURRAY AVE FS,0.8036910254502159,33.01094889404905
P01250,765.5977655,BLVD OF ALLIES AT POST GAZETTE BLDG,0.8185741925881828,33.305630764243986
E01720,762.93182,FIFTH AVE OPP TENNYSON AVE,0.8334573597261496,33.599286500558726
P01620,757.209089335,EAST BUSWAY AT PENN STATION C,0.8483405268641167,33.89073953324635
E17293,752.16136045,EAST BUSWAY AT SWISSVALE STATION A,0.8632236940020837,34.18024967339288
P02120,703.322755,GRANT ST AT US STEEL STOP A,0.8781068611400507,34.45096162441156
E17305,696.15684025,EAST BUSWAY AT NEGLEY STATION A,0.8929900282780175,34.71891538404655
E00975,694.27955,FIFTH AVE AT BELLEFIELD AVE,0.9078731954159844,34.98614656659641
P01875,680.8227215,FT PITT BLVD AT SMITHFIELD ST FS,0.9227563625539515,35.24819815802419
E01225,679.7386368,FIFTH AVE AT HALKET ST,0.9376395296919184,35.50983248059194
P00375,667.5090739999999,FOURTH AVE AT PPG ENTRANCE,0.9525226968298853,35.76675959187987
E01180,666.499993,FIFTH AVE AT DESOTO ST,0.9674058639678523,36.02329830355425
S70092,657.4931799999999,WALMART DRVWY AT SHELTER (WEST MIFFLIN),0.9822890311058192,36.276370254197
P02270,616.665892795,LIBERTY AVE AT FIFTH AVE,0.9971721982437863,36.513727606534076
N09505,613.3181818181818,MCCANDLESS PARK AND RIDE,1.0120553653817532,36.74979641052895
E17304,609.1795265000001,EAST BUSWAY AT NEGLEY STATION C,1.0269385325197202,36.984272228305464
P01150,608.184125,BLVD OF ALLIES AT CHERRY WAY FS,1.041821699657687,37.21836491176676
E15680,604.579555,CRAIG ST AT CENTRE AVE,1.0567048667956542,37.45107018074397
E01210,602.811363,FIFTH AVE AT MCKEE PL FS,1.071588033933621,37.68309486502134
E15620,582.2545700000001,CRAIG ST AT FIFTH AVE,1.086471201071588,37.90720715132757
E19320,580.3704518,FORBES AVE AT CRAIG ST,1.101354368209555,38.13059423244138
W26180,577.72726115,WEST BUSWAY AT SHERADEN STATION C,1.116237535347522,38.352963938114556
P00650,572.8181893,FIFTH AVE AT WOOD ST NS,1.131120702485489,38.573444120935314
W70047,545.8954125,UNIVERSITY BLVD PARK AND RIDE AT SHELTER,1.1460038696234558,38.78356161126168
E01940,529.0954532000001,FIFTH AVE OPP CRAFT AVE (CARLOW UNIV),1.1608870367614228,38.98721272505352
E19310,518.3659086499999,FORBES AVE AT CRAFT AVE FS,1.1757702038993898,39.18673399103646
E19570,512.081814045,FORBES AVE AT MCKEE PL,1.1906533710373568,39.38383648199925
S19380,501.6090909090909,GIANT EAGLE DR AT DRUG STORE,1.2055365381753236,39.576907976819165
W26140,489.0454545454547,WEST BUSWAY AT CARNEGIE STATION,1.2204197053132906,39.76514367400889
P02530,486.840910315,LIBERTY AVE AT WILLIAM PENN PL,1.2353028724512576,39.95253083265
E01420,484.568164275,FIFTH AVE AT MOREWOOD AVE,1.2501860395892246,40.139043201572896
E01410,471.42727,FIFTH AVE AT MOREWOOD AVE,1.2650692067271916,40.320497583814685
W08025,468.9363636363638,PGH INTERNL AIRPORT LOWER LEVE,1.2799523738651584,40.50099320549212
N26800,466.625,HOV ROSS P-N-R LOT AT SHELTER,1.2948355410031254,40.680599173372535
E56040,465.78183364999995,WALMART AT SHELTER (N VERSAILLES),1.3097187081410924,40.85988060290122
P00850,465.40682460000005,SEVENTH AVE AT SMITHFIELD ST,1.3246018752790594,41.039017689834914
E15730,459.53636,CRAIG ST AT PARK PLAZA,1.3394850424170264,41.21589520971499
P03150,456.334104,SMITHFIELD ST AT FT PITT BLVD,1.3543682095549932,41.39154016749857
P00610,453.70684950000003,FIFTH AVE AT SMITHFIELD ST,1.3692513766929604,41.56617388373414
S00180,449.79773,S 18TH ST AT E CARSON ST,1.3841345438309272,41.739302963074216
E00970,445.275,FIFTH AVE AT BELLEFIELD AVE,1.3990177109688942,41.910691224200285
P02670,441.37726905,LIBERTY AVE OPP SMITHFIELD ST,1.4139008781068612,42.08057923193271
W26185,440.50457,WEST BUSWAY AT SHERADEN STATION A,1.428784045244828,42.250131334050245
