route_name,gini,n_stops,total_usage,max_stop_usage,route_name_right,mode,avg_otp
54,0.6329048738627223,222,8345.03859777,441.60685,NORTH SIDE-OAKLAND-SOUTH SIDE,BUS,0.6672096385542169
P68,0.6580484724110987,164,1774.93407929,152.4159,BRADDOCK HILLS FLYER,BUS,0.6795807228915662
65,0.6148920559467311,68,562.468174195,54.66818,SQUIRREL HILL,BUS,0.6150641975308642
28X,0.7019701379935053,78,3358.1999678659095,468.9363636363638,AIRPORT FLYER,BUS,0.6166469879518072
93,0.5433656558430074,166,4450.13180201,179.640905,LAWRENCEVILLE - HAZELWOOD,BUS,0.6605530120481927
74,0.6046971096877695,173,1171.9136468554545,76.236363,HOMEWOOD-SQUIRREL HILL,BUS,0.6572341463414634
39,0.5202016569198771,75,2654.511371055,255.50225449999996,BROOKLINE,BUS,0.789404938271605
81,0.5440254410619226,99,2117.915917715,161.59772999999998,OAK HILL,BUS,0.6691469879518073
26,0.6914505317761364,85,1744.2704253172726,559.80225,CHARTIERS,BUS,0.80436125
56,0.6639988353486935,142,2041.411373254091,226.90000499999996,LINCOLN PLACE,BUS,0.6623096385542169
87,0.6575727826299318,179,3103.8409243250003,448.56138,FRIENDSHIP,BUS,0.6755170731707317
75,0.5588231253282604,158,6033.820388820454,311.9682,ELLSWORTH,BUS,0.6881614457831325
88,0.4688764075867398,73,1742.61820512,276.32957,PENN,BUS,0.6430156626506024
P67,0.7169659703042973,76,902.9636368745454,184.6931818181818,MONROEVILLE FLYER,BUS,0.6799807228915663
20,0.7795976350521162,95,833.3022893809092,211.60681,KENNEDY,BUS,0.698530487804878
O1,0.3381876978488125,9,2122.8454015,466.625,ROSS FLYER,BUS,0.7058060240963855
53L,0.6270223286108376,152,2016.1318411095453,152.440925,HOMESTEAD PARK LIMITED,BUS,0.6500780487804878
86,0.5123574157537091,150,1952.33639614,182.67957,LIBERTY,BUS,0.628733734939759
64,0.4793163262708462,113,3155.7386279204547,175.136345,LAWRENCEVILLE - WATERFRONT,BUS,0.680559756097561
59,0.6491433284873475,334,3599.0500261013635,281.04319999999996,MON VALLEY,BUS,0.689755421686747
12,0.6991835901921354,113,1874.977277683182,372.20907,MCKNIGHT,BUS,0.654610843373494
