route_id,route_name,mode,baseline_otp,baseline_riders,baseline_months,recovery_otp,recovery_riders,recovery_months,otp_delta,ridership_pct_change,subtype
29,ROBINSON,BUS,0.5893285714285714,1008.9662646876935,14,0.6768954545454545,769.1904175863663,22,0.0875668831168831,-0.2376450586041599,local
31,BRIDGEVILLE,BUS,0.6596428571428571,1664.2290386114928,14,0.6768681818181818,1040.0663509744536,22,0.01722532467532467,-0.3750461463872746,local
36,BANKSVILLE,BUS,0.6929571428571428,718.2630784329542,14,0.7498318181818182,306.73328499563684,22,0.05687467532467538,-0.5729513402459143,local
38,GREEN TREE,BUS,0.6713428571428571,3157.5927193407006,14,0.7132136363636363,587.8859803569289,22,0.0418707792207792,-0.8138183000118906,local
39,BROOKLINE,BUS,0.7945214285714286,1593.2509995697887,14,0.8237045454545455,741.6818793525315,22,0.029183116883116922,-0.5344852257724607,local
4,TROY HILL,BUS,0.7454571428571429,668.809609851846,14,0.7622954545454544,326.2976010813955,22,0.016838311688311514,-0.5121218411414923,local
40,MOUNT WASHINGTON,BUS,0.7826000000000001,609.0552512704686,14,0.7617863636363637,368.5159929332855,22,-0.020813636363636423,-0.39493832100688137,local
41,BOWER HILL,BUS,0.6917642857142857,1621.8289263531494,14,0.7916818181818183,635.8203270708211,22,0.09991753246753254,-0.607960915766542,local
43,BAILEY,BUS,0.7869142857142857,682.9621534779919,14,0.8049,279.74363567920875,22,0.01798571428571427,-0.590396577241343,local
44,VIA KNOXVILLE,BUS,0.7550428571428572,982.9148819606896,14,0.6823727272727272,548.3603656554249,22,-0.07267012987013,-0.44210798338756274,local
48,ARLINGTON,BUS,0.7430428571428571,2997.1162377994665,14,0.7529272727272727,1600.819738890885,22,0.009884415584415551,-0.4658799953430455,local
51,CARRICK,BUS,0.6636571428571428,8079.078736791159,14,0.6869954545454545,5417.070629930018,22,0.023338311688311686,-0.3294940170268021,local
51L,CARRICK LIMITED,BUS,0.6986142857142857,673.5129413030035,14,0.7016545454545455,369.2551314956453,22,0.0030402597402597875,-0.45174753319324434,limited
52L,HOMEVILLE LIMITED,BUS,0.6968357142857143,458.12445416901943,14,0.6882681818181818,258.30590147665265,22,-0.008567532467532502,-0.4361665282740968,limited
53L,HOMESTEAD PARK LIMITED,BUS,0.6857714285714286,1443.893228872577,14,0.6113136363636363,748.5078452509282,22,-0.07445779220779225,-0.48160443564419286,limited
54,NORTH SIDE-OAKLAND-SOUTH SIDE,BUS,0.7039785714285715,4182.570182302171,14,0.6711590909090909,2961.7411956949513,22,-0.03281948051948058,-0.2918848778133953,local
55,GLASSPORT,BUS,0.7470285714285714,1085.0876132666513,14,0.6780954545454546,767.9137886487689,22,-0.06893311688311676,-0.29230250234175287,local
56,LINCOLN PLACE,BUS,0.6598642857142857,1695.8657645666972,14,0.6804909090909091,1008.1323049809216,22,0.020626623376623465,-0.40553531650631275,local
57,HAZELWOOD,BUS,0.6468999999999999,1223.2966201500356,14,0.6530454545454546,736.5082798624301,22,0.006145454545454676,-0.3979315664486195,local
58,GREENFIELD,BUS,0.7040785714285713,1151.841163184641,14,0.5075909090909091,410.82214893143737,22,-0.19648766233766224,-0.6433343745108175,local
59,MON VALLEY,BUS,0.7007357142857142,2078.6123040520565,14,0.6478272727272727,1930.6494588744592,22,-0.052908441558441544,-0.07118347413279418,local
6,SPRING HILL,BUS,0.8049714285714286,1211.1429734344335,14,0.6732045454545456,937.9500992419966,22,-0.131766883116883,-0.22556616368565058,local
60,MCKEESPORT - WALNUT,BUS,0.8123285714285714,558.4511568659084,14,0.7489818181818181,414.4472255017709,22,-0.06334675324675332,-0.257863072882334,local
61A,NORTH BRADDOCK,BUS,0.6147214285714285,5040.73407410395,14,0.5428409090909091,4045.361004311893,22,-0.07188051948051943,-0.1974658958713263,local
61B,BRADDOCK-SWISSVALE,BUS,0.6094285714285714,4505.184575569358,14,0.5456500000000001,3388.390136115531,22,-0.06377857142857135,-0.24789094003161638,local
61C,MCKEESPORT-HOMESTEAD,BUS,0.5947857142857143,6302.7330402516745,14,0.4914181818181818,4872.645852796742,22,-0.10336753246753244,-0.22689953363435303,local
61D,MURRAY,BUS,0.6473928571428571,5738.031191686161,14,0.6734909090909091,3118.1846675393117,22,0.026098051948052037,-0.45657585966816416,local
64,LAWRENCEVILLE - WATERFRONT,BUS,0.7474857142857143,1858.1233672124986,14,0.6136499999999999,1586.3873406567081,22,-0.1338357142857144,-0.146242187871218,local
65,SQUIRREL HILL,BUS,0.65545,482.69880078513626,14,0.4610181818181818,101.51815059117429,22,-0.19443181818181815,-0.7896863418221686,local
67,MONROEVILLE,BUS,0.6314142857142857,2134.316497270845,14,0.5857181818181818,1431.135053813117,22,-0.0456961038961039,-0.329464465254749,local
69,TRAFFORD,BUS,0.6028071428571428,1581.3620210534814,14,0.5471318181818182,1061.7430915592968,22,-0.055675324675324545,-0.3285894833543692,local
7,SPRING GARDEN,BUS,0.7324642857142857,143.87858151165614,14,0.6794772727272727,73.82743356774976,22,-0.05298701298701303,-0.4868768318947547,local
71,EDGEWOOD TOWN CENTER,BUS,0.6564857142857142,74.11206676346428,14,0.6757727272727272,50.11420957171945,22,0.019287012987012964,-0.32380499208497693,local
71A,NEGLEY,BUS,0.6337071428571429,5731.177440106477,14,0.6098636363636364,3335.116981503344,22,-0.023843506493506528,-0.41807472960715336,local
71B,HIGHLAND PARK,BUS,0.6295285714285714,5148.1561325320645,14,0.5363318181818182,3958.428540201565,22,-0.09319675324675325,-0.23109780700169735,local
71C,POINT BREEZE,BUS,0.5861285714285714,5821.55907880939,14,0.6086,3597.470531543555,22,0.022471428571428587,-0.38204345556872704,local
71D,HAMILTON,BUS,0.6288214285714285,4550.914472587453,14,0.6511363636363636,2435.787625549681,22,0.022314935064935093,-0.46476963251634185,local
74,HOMEWOOD-SQUIRREL HILL,BUS,0.6800571428571428,956.9331175553223,14,0.6638818181818181,676.50664365279,22,-0.016175324675324676,-0.2930470988598848,local
75,ELLSWORTH,BUS,0.6915571428571429,3547.0435367427613,14,0.67915,2610.4898182844827,22,-0.012407142857142839,-0.2640378413055265,local
77,PENN HILLS,BUS,0.5744,2300.429851308113,14,0.48816363636363636,1188.8322489434147,22,-0.08623636363636367,-0.4832129967938823,local
79,EAST HILLS,BUS,0.6783,969.1023822967924,14,0.6900181818181819,545.2527697927896,22,0.01171818181818185,-0.4373630900581118,local
8,PERRYSVILLE,BUS,0.7294285714285714,3171.9313852813857,14,0.7909045454545454,1767.0461774720663,22,0.061475974025973934,-0.4429116009029591,local
81,OAK HILL,BUS,0.6445285714285715,1690.344371622168,14,0.6253772727272727,1306.818959498999,22,-0.019151298701298725,-0.22689187988073237,local
82,LINCOLN,BUS,0.5926,3884.587011539185,13,0.5651772727272727,3390.7521520969153,22,-0.02742272727272732,-0.1271267339295865,local
83,BEDFORD HILL,BUS,0.6686428571428572,2494.9352860907206,14,0.5982136363636363,1685.6177758670847,22,-0.07042922077922087,-0.32438416929512603,local
86,LIBERTY,BUS,0.6016214285714286,2852.7008174020593,14,0.5997818181818182,1834.2660241602932,22,-0.0018396103896104465,-0.35700722172795174,local
87,FRIENDSHIP,BUS,0.6857714285714286,2835.2111774354016,14,0.6471636363636364,1232.2955067330565,22,-0.0386077922077922,-0.5653602396391041,local
88,PENN,BUS,0.6090714285714285,3091.8107774730456,14,0.6366454545454545,1179.3741440377805,22,0.02757402597402603,-0.6185490546088045,local
89,GARFIELD COMMONS,BUS,0.6492714285714286,386.9780020703933,14,0.7097727272727273,198.40881671029894,22,0.06050129870129872,-0.4872865753381833,local
91,BUTLER STREET,BUS,0.6837857142857143,4463.211028205748,14,0.6384954545454545,2182.393636962511,22,-0.0452902597402598,-0.511026114792548,local
93,LAWRENCEVILLE - HAZELWOOD,BUS,0.7298428571428571,2183.141443494394,14,0.55475,1576.954891945998,22,-0.17509285714285716,-0.2776670991038115,local
BLUE,SouthHills Village via Overbrook,RAIL,0.8617928571428571,8857.525697749456,14,0.8525272727272728,2942.577798880961,22,-0.009265584415584338,-0.6677878338384479,rail
G2,WEST BUSWAY,BUS,0.7536785714285715,3868.492572127666,14,0.8168,1400.0719885187277,22,0.06312142857142844,-0.6380833199458129,busway
G3,MOON FLYER,BUS,0.7262000000000001,960.3926232152938,14,0.7164090909090909,191.3211068904745,22,-0.009790909090909183,-0.8007886542797971,flyer
G31,BRIDGEVILLE FLYER,BUS,0.7183285714285714,677.7606067328117,14,0.758690909090909,219.55303757507318,22,0.040362337662337544,-0.6760610820486563,flyer
O1,ROSS FLYER,BUS,0.6568642857142857,1238.3820211879222,14,0.7286136363636363,294.8007840973257,22,0.07174935064935062,-0.7619468152367578,flyer
O12,MCKNIGHT FLYER,BUS,0.6783071428571429,1409.798531230675,14,0.6595227272727272,394.2548110979929,22,-0.01878441558441568,-0.7203467003516946,flyer
O5,THOMPSON RUN FLYER VIA 279,BUS,0.6630714285714285,111.18957879594527,14,0.6698181818181819,44.197121554335,22,0.006746753246753334,-0.6025066194787426,flyer
P1,EAST BUSWAY-ALL STOPS,BUS,0.8000857142857143,10270.00682154285,14,0.8329954545454545,4694.610774173126,22,0.03290974025974025,-0.5428814356456425,busway
P10,ALLEGHENY VALLEY FLYER,BUS,0.6615214285714286,695.0922212363208,14,0.615809090909091,221.32833102339038,22,-0.04571233766233762,-0.6815842211128096,flyer
P12,HOLIDAY PARK FLYER,BUS,0.6624285714285715,1186.0317079400932,14,0.6858227272727273,292.6428045274883,22,0.02339415584415583,-0.7532588694144172,flyer
P13,MOUNT ROYAL FLYER,BUS,0.6980000000000001,345.41164058508764,14,0.6734454545454546,73.62877547353833,22,-0.024554545454545496,-0.7868375965881762,flyer
P16,PENN HILLS FLYER,BUS,0.6973928571428571,847.37518351214,14,0.6228409090909092,321.81660079051375,22,-0.07455194805194798,-0.6202194647043221,flyer
P17,LINCOLN PARK FLYER,BUS,0.6989142857142857,393.3620076093679,14,0.639140909090909,348.0552221822972,22,-0.05977337662337667,-0.11517834602894096,flyer
P2,EAST BUSWAY SHORT,UNKNOWN,0.7987857142857143,1591.2772169342036,14,0.863288888888889,246.29578392621866,9,0.06450317460317467,-0.8452213220266305,unknown
P3,EAST BUSWAY-OAKLAND,BUS,0.8768285714285715,3061.0711038961044,14,0.8202136363636363,1767.7824162004008,22,-0.0566149350649352,-0.42249547423110073,busway
P67,MONROEVILLE FLYER,BUS,0.7179857142857143,535.9418562286575,14,0.6588863636363637,141.01659565730705,22,-0.05909935064935068,-0.7368807940293753,flyer
P68,BRADDOCK HILLS FLYER,BUS,0.6405571428571429,1385.9131402758728,14,0.6879681818181819,1267.7576501890735,22,0.04741103896103893,-0.0852546141984626,flyer
P69,TRAFFORD FLYER,BUS,0.5519857142857143,250.91518445322785,14,0.6519363636363636,170.34080813784377,22,0.09995064935064935,-0.3211219619528592,flyer
P7,MCKEESPORT FLYER,BUS,0.5870714285714286,690.1804737705359,14,0.7694954545454545,276.4669669592595,22,0.18242402597402596,-0.599428008374551,flyer
P71,SWISSVALE FLYER,BUS,0.7174785714285715,591.3292564061196,14,0.6496181818181819,150.9663612408672,22,-0.06786038961038965,-0.7446999964818504,flyer
P76,LINCOLN HIGHWAY FLYER,BUS,0.6487357142857143,981.4307433249978,14,0.6741272727272727,300.80807966736825,22,0.02539155844155838,-0.6935004515466289,flyer
P78,OAKMONT FLYER,BUS,0.5913857142857143,1370.518739076658,14,0.5605318181818182,784.9728466197834,22,-0.030853896103896106,-0.427243988543613,flyer
RED,Castle Shannon via Beechview,RAIL,0.8656785714285714,10437.03595829636,14,0.8324272727272728,4267.1176928802415,22,-0.033251298701298615,-0.5911561759554611,rail
SLVR,Libary via Overbrook,RAIL,0.8431785714285714,6177.8230317818825,14,0.8331227272727273,3531.5398807384977,22,-0.010055844155844151,-0.42835204851766556,rail
