route_id,route_name,mode,month,otp,rolling_mean,rolling_std,z_score,known_event
61C,MCKEESPORT-HOMESTEAD,BUS,2023-10,0.4188,0.5392333333333333,0.04916466457146121,-2.44959127420228,
61C,MCKEESPORT-HOMESTEAD,BUS,2025-10,0.3906,0.4560333333333333,0.024393565967405797,-2.6824013110983453,
61D,MURRAY,BUS,2020-03,0.7497,0.6477,0.026931259296080576,3.7874203682278047,COVID-19 shutdown begins
61D,MURRAY,BUS,2020-04,0.7375,0.6561333333333333,0.039918242203359336,2.0383329068487703,COVID-19 reduced service
61D,MURRAY,BUS,2021-08,0.6427,0.7320416666666666,0.02474166373230378,-3.610980556251689,
61D,MURRAY,BUS,2021-09,0.6107,0.7256916666666667,0.035750408982614675,-3.2165133194024955,
61D,MURRAY,BUS,2022-09,0.3837,0.65025,0.0572339457442395,-4.65720118600818,
61D,MURRAY,BUS,2023-10,0.7287,0.5925,0.03389923571141685,4.017789697663582,
61D,MURRAY,BUS,2023-11,0.762,0.6074916666666667,0.04916067272143717,3.1429255292911793,
61D,MURRAY,BUS,2025-08,0.6391,0.6956166666666667,0.026511089732183715,-2.1318122807323543,
61D,MURRAY,BUS,2025-09,0.591,0.6910583333333333,0.031148776667452076,-3.212271685709126,
61D,MURRAY,BUS,2025-10,0.5438,0.6847666666666666,0.04221831427954083,-3.338993256179812,
64,LAWRENCEVILLE - WATERFRONT,BUS,2019-07,0.7736,0.7174666666666667,0.025729490213890163,2.1816729700703306,
64,LAWRENCEVILLE - WATERFRONT,BUS,2022-01,0.8022,0.7627499999999999,0.01876188108421386,2.1026676282045678,
64,LAWRENCEVILLE - WATERFRONT,BUS,2022-07,0.7077,0.7604416666666666,0.02379550982599,-2.2164545770337276,
64,LAWRENCEVILLE - WATERFRONT,BUS,2022-08,0.6836,0.7554666666666666,0.02806606923714539,-2.560624576937594,
64,LAWRENCEVILLE - WATERFRONT,BUS,2022-09,0.6649,0.7501166666666667,0.03493801871192962,-2.4390812589944972,
64,LAWRENCEVILLE - WATERFRONT,BUS,2022-10,0.5691,0.7426,0.042625600502301485,-4.070323888824327,
64,LAWRENCEVILLE - WATERFRONT,BUS,2023-07,0.5572,0.6660750000000001,0.04794326429133723,-2.2709133724895834,
64,LAWRENCEVILLE - WATERFRONT,BUS,2025-03,0.6888,0.5948416666666666,0.03200001302082828,2.936196721925627,
64,LAWRENCEVILLE - WATERFRONT,BUS,2025-10,0.484,0.5855083333333333,0.04257193822510619,-2.3843953920207053,
65,SQUIRREL HILL,BUS,2020-03,0.7481,0.6517000000000001,0.030794037203210722,3.130476181601445,COVID-19 shutdown begins
65,SQUIRREL HILL,BUS,2020-04,0.7866,0.6574583333333334,0.04109940186101656,3.1421787378652715,COVID-19 reduced service
65,SQUIRREL HILL,BUS,2020-05,0.7891,0.668325,0.05546476563795004,2.177508524751857,COVID-19 reduced service
65,SQUIRREL HILL,BUS,2020-09,0.8435,0.7158833333333333,0.059652750196957385,2.1393257854048757,
65,SQUIRREL HILL,BUS,2021-09,0.6472,0.7810333333333334,0.04078498683970776,-3.281436226995049,
65,SQUIRREL HILL,BUS,2022-09,0.6203,0.7485,0.05012228682296558,-2.5577444311910367,
65,SQUIRREL HILL,BUS,2023-02,0.3671,0.7435999999999999,0.045194830758314854,-8.33059873624446,
65,SQUIRREL HILL,BUS,2023-03,0.3481,0.7094166666666667,0.1164094875337865,-3.103842086426149,
65,SQUIRREL HILL,BUS,2023-06,0.282,0.627925,0.15988742701720435,-2.163553485433082,
65,SQUIRREL HILL,BUS,2025-07,0.5736,0.4062333333333334,0.06792515042755622,2.463986691426869,
65,SQUIRREL HILL,BUS,2025-08,0.571,0.40657499999999996,0.06882539337139565,2.3890164944314907,
67,MONROEVILLE,BUS,2019-08,0.6032,0.6527285714285714,0.019729902372263478,-2.5103302841578836,
67,MONROEVILLE,BUS,2019-09,0.5458,0.6465375,0.0253040334164903,-3.9810846888287283,
67,MONROEVILLE,BUS,2021-11,0.6732,0.6297583333333333,0.014859062636123351,2.9235805602607248,
67,MONROEVILLE,BUS,2021-12,0.4469,0.6345166666666667,0.018726832151333927,-10.01860139240382,
67,MONROEVILLE,BUS,2022-09,0.3458,0.6078916666666666,0.06525344237987946,-4.0165186250385645,
67,MONROEVILLE,BUS,2025-09,0.5525,0.5985166666666667,0.021421604783842706,-2.1481428273466645,
69,TRAFFORD,BUS,2019-07,0.6445,0.5843333333333333,0.021077539388331533,2.8545394013105154,
69,TRAFFORD,BUS,2019-12,0.6779,0.5884454545454546,0.028469364714948018,3.142133530207531,
69,TRAFFORD,BUS,2021-01,0.7109,0.6451,0.029209525221002425,2.2526898161524387,
69,TRAFFORD,BUS,2021-07,0.7351,0.6587583333333333,0.032469802987708775,2.35115891203791,
69,TRAFFORD,BUS,2022-05,0.5962,0.7086916666666667,0.030948151900567888,-3.6348427857045182,
69,TRAFFORD,BUS,2022-06,0.5896,0.7047916666666666,0.041222378263474656,-2.794396430269354,
69,TRAFFORD,BUS,2022-07,0.4683,0.6975333333333333,0.052691129723276664,-4.350510883657671,
69,TRAFFORD,BUS,2022-08,0.4477,0.6753,0.08298122460149437,-2.742789119984875,
69,TRAFFORD,BUS,2022-09,0.2971,0.6526416666666667,0.10419526649808081,-3.412263134556266,
69,TRAFFORD,BUS,2024-03,0.5994,0.5137083333333333,0.0325705237162615,2.630957592612593,
69,TRAFFORD,BUS,2024-07,0.6387,0.5327500000000001,0.05288595792320094,2.0033673239663488,
7,SPRING GARDEN,BUS,2019-10,0.5998,0.7329333333333333,0.06390948677622128,-2.0831544743818546,
7,SPRING GARDEN,BUS,2020-12,0.5989,0.7389916666666666,0.048516153979573595,-2.887526219115563,
7,SPRING GARDEN,BUS,2021-04,0.8161,0.6917666666666666,0.043892064582716384,2.832706424620837,
7,SPRING GARDEN,BUS,2022-05,0.8026,0.755375,0.022236011946226743,2.123807097882659,
7,SPRING GARDEN,BUS,2022-09,0.5833,0.7592166666666667,0.026746752847379412,-6.577122377077729,
7,SPRING GARDEN,BUS,2023-06,0.5512,0.6872333333333334,0.06532542778391522,-2.082394833805102,
7,SPRING GARDEN,BUS,2024-11,0.8434,0.6908083333333334,0.07408494459167478,2.059685237097606,
7,SPRING GARDEN,BUS,2025-06,0.2863,0.7516083333333334,0.08316967824145954,-5.594687188550169,
71,EDGEWOOD TOWN CENTER,BUS,2019-07,0.4171,0.6740499999999999,0.09120389794301566,-2.8173137968351165,
71,EDGEWOOD TOWN CENTER,BUS,2019-08,0.3476,0.6373428571428572,0.1279206506282034,-2.2650201958789595,
71,EDGEWOOD TOWN CENTER,BUS,2021-06,0.6301,0.7388499999999999,0.023862046700298966,-4.557446448993723,
71,EDGEWOOD TOWN CENTER,BUS,2022-09,0.881,0.7467333333333334,0.05150199172376863,2.6070189166043725,
71,EDGEWOOD TOWN CENTER,BUS,2022-10,0.896,0.7547916666666667,0.06397019843551195,2.207408086684063,
71,EDGEWOOD TOWN CENTER,BUS,2023-11,0.5606,0.7149333333333333,0.07219542082347563,-2.137716375539833,
71,EDGEWOOD TOWN CENTER,BUS,2023-12,0.5203,0.6934916666666666,0.0768905178967093,-2.2524450530990476,
71,EDGEWOOD TOWN CENTER,BUS,2025-07,0.5591,0.7382750000000001,0.06114727563989907,-2.9302204902009894,
71,EDGEWOOD TOWN CENTER,BUS,2025-08,0.5234,0.7225333333333332,0.07986601659066617,-2.4933424982736114,
71A,NEGLEY,BUS,2019-09,0.5724,0.6412625,0.01931261153458314,-3.5656752002020906,
71A,NEGLEY,BUS,2019-10,0.5652,0.6336111111111111,0.029210419564106076,-2.342010561025116,
71A,NEGLEY,BUS,2020-03,0.7352,0.636025,0.039205591553895844,2.5296136614509273,COVID-19 shutdown begins
71A,NEGLEY,BUS,2021-08,0.6573,0.7421833333333333,0.020295177812086614,-4.182438514176594,
71A,NEGLEY,BUS,2021-09,0.5727,0.7356333333333334,0.03188289177409665,-5.110368735928434,
71A,NEGLEY,BUS,2022-04,0.5356,0.6923750000000001,0.05862077083020369,-2.6743933554559054,
71A,NEGLEY,BUS,2022-09,0.3906,0.6448666666666667,0.07225452906010102,-3.5190412279231484,
71A,NEGLEY,BUS,2023-09,0.4542,0.6012916666666667,0.07177575506500479,-2.0493224562172965,
71A,NEGLEY,BUS,2023-10,0.495,0.6065916666666668,0.055249228021482265,-2.019786894095193,
71A,NEGLEY,BUS,2024-06,0.7307,0.5788083333333333,0.06490006945413522,2.340392975603953,
71A,NEGLEY,BUS,2025-04,0.4984,0.62765,0.0629983766024608,-2.051640168692083,
71B,HIGHLAND PARK,BUS,2019-07,0.7052,0.6413166666666666,0.024891236744417997,2.5664989646470504,
71B,HIGHLAND PARK,BUS,2019-09,0.5727,0.6527000000000001,0.0313533775806417,-2.5515592313535596,
