month,day_type,total_riders,avg_riders_sum,n_routes
2024-07,WEEKDAY,2406338.0,109378.99999999999,100
2024-08,SAT.,365780.0,73156.0,73
2024-08,SUN.,215349.0,53837.25,72
2024-08,WEEKDAY,2570932.0,116860.54545454544,100
2024-09,SAT.,346219.0,86554.75,72
2024-09,SUN.,360706.0,60117.666666666664,71
2024-09,WEEKDAY,2675708.0,133785.4,98
2024-10,SAT.,321044.0,80261.0,72
2024-10,SUN.,236332.0,59083.0,71
2024-10,WEEKDAY,2998954.0,130389.30434782608,98
