route_id,lag,correlation,p_value
75,5,-0.26633277875076417,0.03199464088406941
75,6,-0.2749949313573997,0.02786444494979761
77,0,0.37677412317647735,0.0013048032444096889
77,1,0.36526735674294974,0.002028022591344198
77,2,0.40259382063437466,0.0006651033467189097
77,3,0.36944235836070105,0.0020927327060418807
77,4,0.395171779589801,0.0010241405721337466
77,5,0.3991106845247797,0.0009901831931025673
77,6,0.3014223237856163,0.015501853108329173
79,0,0.2074468082556387,0.08719891813340502
79,1,0.17407742430222606,0.15568598411892298
79,2,0.13395762775827566,0.2798147951957799
79,3,0.07968359166243874,0.5247788058517087
79,4,0.039526427137475874,0.754576096511131
79,5,0.020623442405409018,0.8715004255700228
79,6,0.0127525475292484,0.9209816396630469
8,0,-0.27305944144002986,0.022190278345325633
8,1,-0.3507103819874007,0.0031322150046322736
8,2,-0.3290369050250799,0.006148738492785107
8,3,-0.32196001747749275,0.00788603842587719
8,4,-0.3855283896411819,0.0013898296242159085
8,5,-0.39274107105018186,0.0012120453616542317
8,6,-0.35954338442408257,0.0035238255270070495
81,0,0.24968982874546294,0.03710722553627059
81,1,0.26941735776026393,0.025179784781677764
81,2,0.25558533137942174,0.03541230130523233
81,3,0.21960498559022595,0.07416684007968602
81,4,0.17951522293332245,0.14922645893085582
81,5,0.1127640523743902,0.3711347262800613
81,6,0.1400502703348229,0.2696927058559145
82,0,-0.5808361959567663,1.675667119826698e-7
82,1,-0.4858240163497552,0.000026727272091118774
82,2,-0.36260049023086577,0.0025655373004784977
82,3,-0.2603157041402884,0.03477659862898408
82,4,-0.23284300749261327,0.061962966699153695
82,5,-0.2774884666040758,0.02642225434844961
82,6,-0.25853876380608304,0.04076405596231947
83,0,0.21356266141956406,0.07587105331142355
83,1,0.16397516472263995,0.1781963393587753
83,2,0.0471398027897063,0.7026614863903478
83,3,-0.1186904779771045,0.3387553412614656
83,4,-0.13248960249630362,0.2889314302072981
83,5,-0.06912714325822637,0.5842672735052582
83,6,-0.14362841406238352,0.257523748310639
86,0,-0.23427629665241392,0.05093073693189163
86,1,-0.09860117112330538,0.42021588785497105
86,2,-0.0381676689834784,0.7573092959475892
86,3,-0.029315351758778644,0.8138273950803758
86,4,0.024589313478880777,0.8446279416332508
86,5,-0.15367698877091654,0.22162485911945787
86,6,-0.09834488743297826,0.43944568568461867
87,0,0.13716435357857362,0.2610641908827823
87,1,0.147156202776803,0.2311056048463919
87,2,0.1498097376332726,0.22627456457558925
87,3,0.12055642343662752,0.3349383862303403
87,4,0.08712616712551072,0.4901198738300958
87,5,0.06566122745684154,0.6062081115643665
87,6,0.03771994298211677,0.7691385501040074
88,0,-0.296771196247236,0.012604995944735813
88,1,-0.284413061663516,0.017860793621525844
88,2,-0.2921407012177372,0.01563262786303659
88,3,-0.2939978030514664,0.01574309676326424
88,4,-0.2783920374631439,0.023610926701476864
88,5,-0.2766268526379509,0.025701784525912066
