route_id,route_name,mode,avg_otp,months,stop_count,span_km,stop_density
57,HAZELWOOD,BUS,0.661587951807229,83,79,8.74557903837226,9.033135445163571
58,GREENFIELD,BUS,0.6076132530120482,83,102,6.756924482527202,15.095625275043819
59,MON VALLEY,BUS,0.689755421686747,83,334,12.895827524446,25.899850115617028
6,SPRING HILL,BUS,0.7247855421686747,83,80,4.8477882512128785,16.502370948232862
60,MCKEESPORT - WALNUT,BUS,0.7833819277108435,83,88,5.058923463300133,17.395005209783143
61A,NORTH BRADDOCK,BUS,0.5899975903614457,83,187,12.970818848103756,14.416977230958562
61B,BRADDOCK-SWISSVALE,BUS,0.5842313253012048,83,137,12.970818848103756,10.562170484712956
61C,MCKEESPORT-HOMESTEAD,BUS,0.5677506024096386,83,158,16.462887597685608,9.59734427283656
61D,MURRAY,BUS,0.6678686746987952,83,75,5.6385721010378065,13.301239862871645
64,LAWRENCEVILLE - WATERFRONT,BUS,0.680559756097561,82,110,8.000338207867376,13.749418729801716
65,SQUIRREL HILL,BUS,0.6150641975308642,81,70,7.949335087701236,8.805767932502942
67,MONROEVILLE,BUS,0.6035817073170732,82,191,22.276841676728523,8.573926356873466
69,TRAFFORD,BUS,0.6026573170731707,82,209,22.574311709378655,9.258311070151898
7,SPRING GARDEN,BUS,0.7074795180722891,83,67,5.529351642279202,12.117153028882525
71,EDGEWOOD TOWN CENTER,BUS,0.7087638554216867,83,95,4.127406434117842,23.016875492249536
71A,NEGLEY,BUS,0.6446518072289156,83,72,5.918423835705078,12.165401126839447
71B,HIGHLAND PARK,BUS,0.5879493975903615,83,107,8.00855276887158,13.360716110393627
71C,POINT BREEZE,BUS,0.6080518072289156,83,100,6.65374995721062,15.029119014553702
71D,HAMILTON,BUS,0.6559621951219512,82,93,6.992827708097283,13.29934096507361
74,HOMEWOOD-SQUIRREL HILL,BUS,0.6572341463414634,82,171,5.981898239920018,28.586243553732935
75,ELLSWORTH,BUS,0.6881614457831325,83,150,10.999978046254409,13.63639085180505
77,PENN HILLS,BUS,0.5577253012048192,83,258,21.55636545853036,11.968622470069661
79,EAST HILLS,BUS,0.709910975609756,82,114,4.013750915271161,28.402360387203647
8,PERRYSVILLE,BUS,0.7659469879518073,83,119,8.943429869971231,13.305857118593673
81,OAK HILL,BUS,0.6691469879518073,83,93,4.068262145780921,22.859883819543843
82,LINCOLN,BUS,0.6079463414634146,82,136,10.139159614402985,13.41334047121695
83,BEDFORD HILL,BUS,0.6541397590361445,83,106,4.068262145780921,26.055351450232767
86,LIBERTY,BUS,0.628733734939759,83,142,9.903352732145715,14.338578443144426
87,FRIENDSHIP,BUS,0.6755170731707317,82,175,8.37811622720184,20.88775033125164
88,PENN,BUS,0.6430156626506024,83,70,7.702739777369081,9.087675557424703
89,GARFIELD COMMONS,BUS,0.722351219512195,82,54,3.067484551879533,17.604000635280364
91,BUTLER STREET,BUS,0.6465373493975903,83,158,13.419994427708412,11.773477317827766
93,LAWRENCEVILLE - HAZELWOOD,BUS,0.6605530120481927,83,173,8.902574050474298,19.43258197226488
BLUE,SouthHills Village via Overbrook,RAIL,0.8507283950617285,81,45,12.628217675640576,3.563448235993235
G2,WEST BUSWAY,BUS,0.8168280487804878,82,24,8.890523063033768,2.6995037108435698
G3,MOON FLYER,BUS,0.7420414634146342,82,34,20.85468542273929,1.6303290752555526
G31,BRIDGEVILLE FLYER,BUS,0.7341548780487804,82,78,14.177868183201774,5.501532317278558
O1,ROSS FLYER,BUS,0.7058060240963855,83,7,7.885177660219192,0.8877415705311342
O12,MCKNIGHT FLYER,BUS,0.6471686746987952,83,64,16.413809486675728,3.8991557719707552
O5,THOMPSON RUN FLYER VIA 279,BUS,0.6921698795180723,83,127,16.16884707272886,7.854610747986119
P1,EAST BUSWAY-ALL STOPS,BUS,0.8454204819277108,83,24,10.828990566185034,2.216273054567357
P10,ALLEGHENY VALLEY FLYER,BUS,0.6431036144578314,83,189,35.609612146488786,5.307555702165545
P12,HOLIDAY PARK FLYER,BUS,0.6679280487804878,82,62,24.969203381144393,2.483058792609282
P13,MOUNT ROYAL FLYER,BUS,0.6792658536585365,82,123,13.848572886447071,8.881781610896105
P16,PENN HILLS FLYER,BUS,0.6379180722891566,83,199,20.652907624999234,9.635447154139266
P17,LINCOLN PARK FLYER,BUS,0.689380487804878,82,177,12.69086876843747,13.94703571753919
P3,EAST BUSWAY-OAKLAND,BUS,0.8470578313253012,83,40,7.71174571972425,5.186893014080123
P67,MONROEVILLE FLYER,BUS,0.6799807228915663,83,69,17.340406383062557,3.979145498423644
P68,BRADDOCK HILLS FLYER,BUS,0.6795807228915662,83,175,21.088131221771317,8.298506783727264
P69,TRAFFORD FLYER,BUS,0.6454650602409638,83,128,22.574311709378655,5.670161803729392
P7,MCKEESPORT FLYER,BUS,0.7169891566265061,83,101,16.690814353560626,6.051232603785676
P71,SWISSVALE FLYER,BUS,0.6818679012345679,81,111,10.76040911938259,10.315592908085353
P76,LINCOLN HIGHWAY FLYER,BUS,0.6996135802469136,81,100,20.75113983556403,4.819012391243034
P78,OAKMONT FLYER,BUS,0.5961602409638553,83,149,18.377446047902815,8.107764246001064
RED,Castle Shannon via Beechview,RAIL,0.827620987654321,81,59,12.628217675640576,4.672076576080019
SLVR,Libary via Overbrook,RAIL,0.84659375,80,58,17.92623709638972,3.235481026393486
