stop_id,stop_name,stop_lat,stop_lon,classification,signal_dist_m,shape_id
6829,PROVOST RD + WHITEHILL CIR,40.36705,-79.993496,mid_block,NaN,shp-Y47-52
6830,PROVOST RD + FRANK FS,40.368782,-79.994223,mid_block,NaN,shp-Y47-52
6832,PROVOST RD + SHADOW FS,40.370783,-79.994547,mid_block,NaN,shp-Y47-52
6836,PROVOST RD + STEWART,40.378146,-79.993622,mid_block,NaN,shp-Y47-52
6838,SOUTH BUSWAY + OVERBROOK SHELTER,40.385218,-79.995853,mid_block,NaN,shp-Y46-01
6839,SOUTH BUSWAY + INGLEWOOD SHELTER,40.38761,-79.997069,mid_block,NaN,shp-Y46-01
6840,SOUTH BUSWAY + CENTRAL SHELTER,40.390282,-79.998173,mid_block,NaN,shp-Y46-01
6841,SOUTH BUSWAY + SOUTH BANK,40.392454,-79.998352,mid_block,NaN,shp-Y46-01
6842,SOUTH BUSWAY + WHITED ST SHELTER,40.395584,-79.999582,mid_block,NaN,shp-Y46-01
6843,SOUTH BUSWAY + EDGEBROOK SHELTER,40.402986,-80.002187,mid_block,NaN,shp-Y46-01
