stop_id,stop_code,stop_name,classification,auth_class,auth_has_signal,heur_has_signal
7075,7075,COAL ST + HUTCHINSON,mid_block,none,0,0
7077,7077,COAL ST + WOODWORTH,mid_block,none,0,0
7078,7078,COAL ST + REBECCA,mid_block,none,0,0
7079,7079,COAL ST + FRANKLIN,mid_block,none,0,0
7084,7084,ROWLAND CONNECTOR + HIGHRISE,mid_block,none,0,0
7085,7085,KELLY ST + PITT,mid_block,none,0,0
7086,7086,KELLY ST + WEST,mid_block,none,0,0
7088,7088,KELLY ST + PEEBLES,mid_block,none,0,0
7089,7089,PEEBLES ST + FORBES,mid_block,none,0,0
7090,7090,FORBES AVE + CELERON,mid_block,none,0,0
7093,7093,FORBES AVE + DALLAS,near_side,nearside,1,1
7094,7094,FORBES AVE + BEECHWOOD,mid_block,nearside,1,0
7095,7095,FORBES AVE + SHADY,near_side,nearside,1,1
7096,7096,FORBES + MURRAY FS,mid_block,farside,1,0
7097,7097,FORBES AVE + WIGHTMAN,near_side,nearside,1,1
7098,7098,FORBES AVE + MURDOCH,mid_block,none,0,0
7100,7100,FORBES AVE + NORTHUMBERLAND FS,mid_block,none,0,0
7101,7101,FORBES AVE + PLAINFIELD,mid_block,none,0,0
7102,7102,FORBES AVE + MARGARET MORRISON,near_side,nearside,1,1
7103,7103,FORBES AVE + BEELER,far_side,nearside,1,1
7112,7112,FORBES AVE + JUMONVILLE,near_side,nearside,1,1
7113,7113,FORBES AVE + SENECA,mid_block,none,0,0
7114,7114,FORBES AVE + MOULTRIE,near_side,none,0,1
7115,7115,FORBES AVE + CRAIG ST,near_side,nearside,1,1
7117,7117,FORBES AVE + MOREWOOD (CARNEGIE MELLON),mid_block,none,0,0
7119,7119,FORBES AVE + BEELER,far_side,nearside,1,1
7121,7121,FORBES AVE + PLAINFIELD,mid_block,none,0,0
7124,7124,FORBES AVE + MURDOCH,mid_block,none,0,0
7125,7125,FORBES AVE + WIGHTMAN,near_side,nearside,1,1
7126,7126,FORBES AVE + MURRAY AVE,near_side,nearside,1,1
7127,7127,FORBES AVE + SHADY AVE,near_side,nearside,1,1
7128,7128,FORBES AVE + DENNISTON,mid_block,none,0,0
7129,7129,FORBES AVE + BEECHWOOD,near_side,nearside,1,1
7130,7130,FORBES AVE + DALLAS,near_side,nearside,1,1
7133,7133,FORBES AVE + EAST END AVE,mid_block,none,0,0
7134,7134,FORBES AVE + PEEBLES,mid_block,none,0,0
7135,7135,PEEBLES ST + FORBES,mid_block,none,0,0
7136,7136,PEEBLES ST + KELLY,mid_block,none,0,0
7137,7137,KELLY AVE + TRENTON AVE,mid_block,none,0,0
7138,7138,KELLY ST + WEST,mid_block,none,0,0
7139,7139,KELLY ST + PITT,mid_block,none,0,0
7140,7140,KELLY ST + HAY,mid_block,none,0,0
7141,7141,ROWLAND CONNECTOR + PENNWOOD,near_side,nearside,1,1
7146,7146,REBECCA ST + SWISSVALE FS,mid_block,farside,1,0
7147,7147,SWISSVALE AVE + #441(MERCY GRANDVIEW MANOR),mid_block,none,0,0
7150,19408,EDGEWOOD AVE + ELM ST,mid_block,none,0,0
7152,7152,EDGEWOOD AVE + LACROSSE,mid_block,none,0,0
7153,7153,EDGEWOOD AVE + DELAWARE,mid_block,none,0,0
7154,7154,EDGEWOOD AVE + COLUMBIA,mid_block,none,0,0
7156,7156,WAVERLY AVE + BRADDOCK FS,mid_block,farside,1,0
7157,7157,NOBLE AVE + WASHINGTON ST,mid_block,none,0,0
7159,7159,WOODSTOCK AVE + ARDMORE,mid_block,none,0,0
7160,7160,WOODSTOCK AVE + ORMOND,mid_block,none,0,0
7161,7161,WOODSTOCK AVE + MELROSE,mid_block,none,0,0
7163,7163,WOODSTOCK AVE + BRADDOCK,near_side,nearside,1,1
7165,7165,WOODSTOCK AVE + WOODSTOCK TERRACE,mid_block,none,0,0
7167,7167,WOODSTOCK AVE + WILKINS,mid_block,none,0,0
7168,7168,HAWKINS AVE + 2ND,mid_block,none,0,0
7169,7169,HAWKINS AVE + OVERLAND,mid_block,none,0,0
7170,7170,HAWKINS AVE + 4TH,mid_block,none,0,0
7173,7173,HAWKINS AVE + MIDDLE ST,mid_block,none,0,0
7177,21683,BELL AVE + VERONA,mid_block,none,0,0
7186,7186,CENTER ST + GRANDVIEW,mid_block,none,0,0
7188,7188,LINDEN AVE + BESSEMER FS,mid_block,none,0,0
7190,7190,LINDEN AVE + SR CITIZEN APTS,mid_block,none,0,0
7210,7210,HAWKINS AVE + RANKIN BLVD,mid_block,none,0,0
7211,7211,RANKIN BLVD + BLDG #5,mid_block,none,0,0
7212,7212,HARRIETT ST + BLDG #2,mid_block,none,0,0
7213,7213,HARRIETT ST + 5TH,mid_block,none,0,0
7215,7215,MILLER ST + GAS ST,mid_block,none,0,0
7217,7217,MONONGAHELA AVE + DUQUESNE,mid_block,none,0,0
7218,7218,MONONGAHELA AVE + WASHINGTON,near_side,nearside,1,1
7219,7219,MONONGAHELA AVE + IRVINE,mid_block,none,0,0
7220,7220,MONONGAHELA AVE + CHURCH,near_side,nearside,1,1
7222,7222,MONONGAHELA AVE + SCHOYER,near_side,none,0,1
7223,7223,MONONGAHELA AVE + WHIPPLE (#1641),mid_block,none,0,0
7225,7225,BRADDOCK AVE + GREENDALE FS,mid_block,none,0,0
7226,7226,BRADDOCK AVE + CHARLESTON,mid_block,none,0,0
7227,7227,BRADDOCK AVE + SANDERS,mid_block,none,0,0
7228,7228,BRADDOCK AVE + HUTCHINSON,near_side,nearside,1,1
7229,7229,BRADDOCK AVE + OVERTON,mid_block,none,0,0
7230,7230,BRADDOCK AVE + HENRIETTA,mid_block,none,0,0
7231,7231,BRADDOCK AVE + BIDDLE,mid_block,none,0,0
7233,7233,FORBES AVE + BRADDOCK FS,mid_block,none,0,0
7234,7234,FORBES AVE + BRADDOCK,near_side,none,0,1
7235,7235,BRADDOCK AVE + GUTHRIE,mid_block,none,0,0
7236,7236,BRADDOCK AVE + BIDDLE,mid_block,none,0,0
7237,7237,BRADDOCK AVE + HENRIETTA,mid_block,none,0,0
7238,7238,BRADDOCK AVE + OVERTON,mid_block,none,0,0
7239,7239,BRADDOCK AVE + HUTCHINSON,near_side,nearside,1,1
7240,7240,BRADDOCK AVE + SANDERS,mid_block,none,0,0
7241,7241,BRADDOCK AVE + CHARLESTON,mid_block,none,0,0
7242,7242,BRADDOCK AVE + GREENDALE,mid_block,none,0,0
7245,7245,MONONGAHELA AVE + MCCLURE,mid_block,none,0,0
7246,7246,MONONGAHELA AVE + CHURCH,near_side,nearside,1,1
7247,7247,MONONGAHELA AVE + SCHLEY,mid_block,none,0,0
7248,7248,MONONGAHELA AVE + WASHINGTON,near_side,nearside,1,1
7249,7249,MONONGAHELA AVE + DUQUESNE,mid_block,none,0,0
7250,7250,MONONGAHELA AVE + #2130,mid_block,none,0,0
7252,7252,MILLER ST + GAS ST,mid_block,none,0,0
7253,7253,MILLER ST + HARRIETT,mid_block,none,0,0
7254,7254,HARRIETT ST + 5TH,mid_block,none,0,0
7255,7255,HARRIETT ST + BLDG #2,mid_block,none,0,0
7256,7256,RANKIN BLVD + BLDG #5,mid_block,none,0,0
7257,7257,RANKIN BLVD + HAWKINS,mid_block,none,0,0
7258,7258,RANKIN BLVD + #211,mid_block,none,0,0
7259,7259,RANKIN BLVD + KENMAWR,mid_block,none,0,0
7272,7272,JONES AVE + BELL AVE,mid_block,none,0,0
7273,7273,COAL ST + SOUTH,mid_block,none,0,0
