geoid,population,land_area_m2,dist_to_stop_m,pop_density,within_half_mile,density_quartile
42003270300,2213,593102.0,270.5310330198075,3731.2300413756825,true,4
42003417200,1242,1319446.0,271.2246938200066,941.3041534098403,true,2
42003488200,3455,2936297.0,277.12704052927273,1176.6520893492723,true,2
42003192000,3571,1360695.0,277.72096572121063,2624.394151518158,true,4
42003472300,1847,342247.0,283.8413879526739,5396.687187908149,true,4
42003565100,2953,672618.0,284.67700301827233,4390.307722957162,true,4
42003472200,2325,651963.0,288.45428659270334,3566.153293975272,true,4
42003446000,1520,3875478.0,290.2845689217002,392.2096835538739,true,1
42003320700,1880,1313842.0,295.1307470414842,1430.9178729253595,true,2
42003484300,3523,2224257.0,295.6136798585354,1583.8997022376464,true,3
42003473100,4823,1505105.0,295.9343762549742,3204.4275980745533,true,4
42003425000,3413,1906207.0,297.33947180954857,1790.4666177387871,true,3
42003551900,1395,1810718.0,297.70930429583154,770.4126208498508,true,2
42003281500,1480,617106.0,298.54829447006153,2398.291379438865,true,3
42003401100,4449,13179430.0,305.8945845432708,337.57150347169795,true,1
42003140200,2468,759494.0,310.75928492042607,3249.5319252028326,true,4
42003526202,4591,11353167.0,311.3512939823378,404.380557425078,true,1
42003563900,3917,1894346.0,315.5864511622938,2067.732082734622,true,3
42003101800,2532,1197215.0,316.2542016909721,2114.9083497951497,true,3
42003431500,3144,1001061.0,318.2217581026823,3140.667751515642,true,4
42003521200,4194,7329548.0,318.7311407079613,572.204452443725,true,1
42003110600,2346,637590.0,320.6596018729693,3679.480543923211,true,4
42003432300,2287,886333.0,321.5388017957109,2580.2943137624347,true,4
42003518001,3129,2567927.0,321.99955426964806,1218.492581759528,true,2
42003090200,2657,446356.0,325.2550541521225,5952.647662404001,true,4
42003478200,5625,2237593.0,326.85939079743116,2513.86199366909,true,4
42003457200,3344,1896240.0,327.18178684006796,1763.4898536050289,true,3
42003320400,1846,852854.0,328.21140384556065,2164.4970885989865,true,3
42003516100,1416,713472.0,331.2073528009144,1984.6609257265877,true,3
42003460002,3716,7541921.0,332.7672162972038,492.712665645795,true,1
42003448000,1125,2588612.0,335.19704985185706,434.5958374603842,true,1
42003423000,2890,908635.0,338.331193536958,3180.595068426816,true,4
42003417100,2131,1098642.0,341.0870406116292,1939.6673347641909,true,3
42003404000,1438,5888503.0,341.7981926799554,244.20468156337867,true,1
42003472400,1870,425318.0,342.3729876884452,4396.710226230726,true,4
42003564800,1951,811955.0,343.2833534695576,2402.8425220609515,true,3
42003513000,2243,2584742.0,343.6524165014946,867.7848698245318,true,2
42003515300,1488,868385.0,346.65616395493197,1713.5256827328892,true,3
42003473200,3085,729800.0,348.70011731552313,4227.185530282269,true,4
42003290100,1841,1266000.0,353.11784145358644,1454.1864139020538,true,2
42003270800,2375,1270793.0,355.3992873163943,1868.9117739867943,true,3
42003477100,3902,2161099.0,359.7302930781343,1805.5628178070508,true,3
42003476100,4961,2420999.0,361.17587943078695,2049.1540888699255,true,3
42003562400,2955,1891449.0,362.18018721242555,1562.294304525261,true,3
42003140400,2254,834995.0,363.6523345963234,2699.4173617806096,true,4
42003563100,3491,2714772.0,364.46778676316035,1285.9275106712462,true,2
42003160800,2334,1032625.0,364.81405520600924,2260.259048541339,true,3
42003427000,3377,1602599.0,364.9886935736811,2107.202113566775,true,3
42003471000,1254,743717.0,366.5088477973985,1686.1252331195872,true,3
42003090100,2073,672423.0,367.6290521606079,3082.8808651696922,true,4
42003468800,2522,1090886.0,369.80936828904083,2311.8822681746765,true,3
42003480200,3758,3100501.0,376.003642939298,1212.062179628389,true,2
42003980700,47,620570.0,377.58998267904747,75.73682259857873,true,1
42003100500,2023,714843.0,377.71422678163816,2829.992040210228,true,4
42003516200,1688,809167.0,382.45810076946566,2086.0959480552224,true,3
42003475301,4605,3387769.0,387.8784172939036,1359.3016525034618,true,2
42003473601,3888,2078015.0,393.07897234996915,1871.016330488471,true,3
42003141100,1432,1220859.0,394.44532054275885,1172.944623416791,true,2
42003523702,5198,7029186.0,395.2462421255903,739.4881854029757,true,2
42003517000,1625,2454360.0,395.3842586850859,662.0870613927867,true,2
42003562800,1560,1776466.0,399.55754569643625,878.1479634285149,true,2
42003552000,1801,639467.0,402.39435965419506,2816.408039820663,true,4
42003480400,5119,5019302.0,402.80398174035327,1019.8629211790803,true,2
42003040600,2302,252018.0,405.0745782968485,9134.26818719298,true,4
42003413400,4442,4394219.0,405.8246760676397,1010.8736046155188,true,2
42003564400,5694,13634064.0,408.11768094892506,417.6304291955796,true,1
42003290200,4268,1454029.0,413.4331587590084,2935.292212191091,true,4
42003562500,2774,2020589.0,415.3712273766832,1372.8670204578964,true,2
42003403500,4328,3185730.0,418.6880793186264,1358.5583210127663,true,2
42003191100,2276,1604781.0,424.260036487051,1418.2620556948268,true,2
42003429202,4514,4349598.0,424.4014381247066,1037.7970561877214,true,2
42003499400,2844,2036887.0,426.24249664278005,1396.2482945789334,true,2
42003161000,2902,2646060.0,428.80011795939737,1096.7249419892219,true,2
42003281400,2471,1328964.0,432.7341349017615,1859.343067231317,true,3
42003450700,2882,2076919.0,440.21207028656926,1387.6323535005458,true,2
42003980500,19,1611394.0,444.5599855002049,11.791033105497476,true,1
42003468900,3805,1691784.0,447.45348944141386,2249.1050867013755,true,3
42003490003,3775,7806764.0,449.0622062079446,483.5550299714453,true,1
42003473602,4680,2450846.0,449.9794593753974,1909.5447041552184,true,3
42003499300,1595,2059494.0,455.6615290193836,774.4620766071666,true,2
42003526302,4989,4001953.0,460.0091274996913,1246.6413273719108,true,2
42003489001,4836,3729072.0,466.7412268650322,1296.8373901067075,true,2
42003421100,4959,8784749.0,468.18252726891905,564.5010460742817,true,1
42003523502,1446,4730234.0,478.6787557468186,305.6931221584387,true,1
42003465800,3565,1948263.0,480.5360300648364,1829.8350889997912,true,3
42003552300,1586,830981.0,489.3241329236474,1908.587560967098,true,3
42003980400,0,1106319.0,503.05543031077434,0.0,true,
42003470501,4344,1128817.0,508.50309735884207,3848.2765585564357,true,4
42003981000,0,1378279.0,510.2650858443835,0.0,true,
42003470502,3061,1863363.0,512.0379574886614,1642.7287651413064,true,3
42003515200,2018,545335.0,517.8667430460627,3700.477688026626,true,4
42003468700,1740,1414458.0,522.5299030435154,1230.1531752798599,true,2
42003473401,3830,1527653.0,522.9802609395691,2507.113853735109,true,4
