route_id,route_name,mode,avg_otp,weighted_aadt,max_aadt,median_aadt,p90_aadt,avg_truck_pct,match_rate,n_segments,stop_count,span_km
81,OAK HILL,BUS,0.6691469879518073,10139.068720447172,40605,4843.0,15410.600000000004,5.871831465328101,0.752724795640327,102,93,4.068262145780921
21,CORAOPOLIS,BUS,0.7360734939759036,10132.120341701795,40608,6464.5,21779.0,7.471628057348205,0.9702038682697334,116,133,20.236530514416152
83,BEDFORD HILL,BUS,0.6541397590361445,10057.503849201858,40605,4843.0,15269.800000000003,5.819641441995116,0.7341559169938306,104,106,4.068262145780921
64,LAWRENCEVILLE - WATERFRONT,BUS,0.680559756097561,10057.136163337986,44041,6013.0,17769.2,4.482336229361423,0.6799254195152269,48,110,8.000338207867376
56,LINCOLN PLACE,BUS,0.6623096385542169,9886.967247657625,36651,6603.0,17085.0,6.001937610689298,0.9751131221719457,118,142,18.414636794317335
75,ELLSWORTH,BUS,0.6881614457831325,9804.463285939855,40605,6144.0,15903.800000000016,4.92852133066213,0.8002853067047075,85,150,10.999978046254409
P10,ALLEGHENY VALLEY FLYER,BUS,0.6431036144578314,9721.554697758815,46078,5914.0,21200.2,6.064305764462317,0.7862522031725685,157,189,35.609612146488786
77,PENN HILLS,BUS,0.5577253012048192,9677.722090518197,36492,5855.0,11066.1,5.563342346735228,0.9739816592023885,122,258,21.55636545853036
61B,BRADDOCK-SWISSVALE,BUS,0.5842313253012048,9593.602314352314,40605,5354.0,16718.600000000002,5.6782017982017985,0.979890310786106,107,137,12.970818848103756
P71,SWISSVALE FLYER,BUS,0.6818679012345679,9504.748464797694,34022,5416.5,13381.0,4.893454114652581,0.3063451047947172,56,111,10.76040911938259
61C,MCKEESPORT-HOMESTEAD,BUS,0.5677506024096386,9451.369332179554,44041,5701.0,16420.199999999997,5.4030258323521485,0.9378004807692307,143,158,16.462887597685608
61A,NORTH BRADDOCK,BUS,0.5899975903614457,9370.810594647717,40605,5479.0,16068.0,5.649867777037818,0.8268219383921863,106,187,12.970818848103756
RED,Castle Shannon via Beechview,RAIL,0.827620987654321,9335.764433197797,32520,5305.0,11889.000000000004,5.400186002249329,0.31265508684863524,85,59,12.628217675640576
P67,MONROEVILLE FLYER,BUS,0.6799807228915663,8747.460901152124,37708,5670.0,12991.399999999998,4.963561312100976,0.5094278283485045,88,69,17.340406383062557
