route_id,month,mode,otp,daily_trips,delta_otp,delta_trips,detrended_delta_otp
41,2019-03,BUS,0.6838,72,0.02069999999999994,0,0.006804347826086892
41,2019-04,BUS,0.7007,72,0.016900000000000026,0,0.050733695652173935
41,2019-05,BUS,0.7006,72,-0.00009999999999998899,0,0.029843478260869576
41,2019-06,BUS,0.6651,72,-0.035499999999999976,0,-0.03648043478260867
41,2019-07,BUS,0.669,72,0.0039000000000000146,0,-0.049889130434782596
41,2019-08,BUS,0.5463,72,-0.12270000000000003,0,-0.11728586956521742
41,2019-09,BUS,0.6989,72,0.15259999999999996,0,0.1679347826086956
41,2019-10,BUS,0.6887,72,-0.010199999999999987,0,-0.024849999999999983
41,2019-11,BUS,0.7083,72,0.019600000000000062,0,0.026795652173913102
41,2019-12,BUS,0.7593,72,0.050999999999999934,0,0.018168478260869515
41,2020-01,BUS,0.765,72,0.005700000000000038,0,-0.007122826086956488
41,2020-02,BUS,0.7729,72,0.007900000000000018,0,0.020339560439560464
41,2020-03,BUS,0.7763,216,0.0033999999999999586,144,-0.03288695652173917
41,2020-04,BUS,0.7622,150,-0.014100000000000001,-66,0.007505434782608688
41,2020-05,BUS,0.7789,150,0.016700000000000048,0,0.021273913043478313
41,2020-06,BUS,0.7612,150,-0.01770000000000005,0,0.00009021739130429807
41,2020-07,BUS,0.7595,150,-0.0017000000000000348,0,-0.004016304347826118
41,2020-08,BUS,0.7275,150,-0.03199999999999992,0,-0.0317440860215053
41,2020-09,BUS,0.7039,72,-0.023600000000000065,-78,-0.022579569892473183
41,2020-10,BUS,0.708,72,0.0040999999999999925,0,0.0013387096774193463
41,2020-12,BUS,0.785,62,0.07700000000000007,-10,0.08880967741935492
41,2021-01,BUS,0.7994,62,0.014399999999999968,0,0.00009139784946232861
41,2021-02,BUS,0.8235,62,0.02410000000000001,0,0.029427956989247328
41,2021-03,BUS,0.8022,62,-0.021299999999999986,0,-0.037484946236559125
43,2019-02,BUS,0.7666,44,-0.0048000000000000265,0,0.008967391304347804
43,2019-03,BUS,0.7801,44,0.013500000000000068,0,-0.00039565217391298105
