route_id,route_name,mode,months,mean_otp,std_otp,min_otp,max_otp,recent_mean_otp,slope,slope_stderr,slope_ci_lo,slope_ci_hi,slope_significant,slope_months,obs_span_months,stop_count,limited_data,high_volatility,rank_avg,rank_slope,rank_volatility,mode_rank
13,BELLEVUE,BUS,83,0.712666265060241,0.04748805826040394,0.5161,0.8052,0.7242000000000001,-0.000562257169287703,0.006730697433817798,-0.013754424139570589,0.012629909800995182,0.0,47,47,133,false,false,33.0,39.0,17.0,30.0
71D,HAMILTON,BUS,82,0.6559621951219512,0.06655229381776326,0.4448,0.7999,0.7141583333333333,0.04103630897317301,0.008042951450890231,0.025272124129428156,0.05680049381691786,1.0,47,47,93,false,false,34.0,2.0,52.0,31.0
40,MOUNT WASHINGTON,BUS,80,0.7615112500000001,0.04207453300432042,0.5692,0.8408,0.7132888888888889,-0.01622461769990325,0.0059128721184241485,-0.027813847052014583,-0.004635388347791919,1.0,44,47,77,false,false,35.0,60.0,9.0,32.0
P13,MOUNT ROYAL FLYER,BUS,82,0.6792658536585365,0.05967277067786764,0.5142,0.8421,0.7065750000000001,0.021805920444033292,0.008174668396614165,0.0057835703866695315,0.03782827050139705,1.0,47,47,123,false,false,36.0,7.0,39.0,33.0
59,MON VALLEY,BUS,83,0.689755421686747,0.047448316562730505,0.5859,0.7742,0.7062499999999999,0.00896392229417207,0.005848700345848154,-0.002499530383690312,0.02042737497203445,0.0,47,47,334,false,false,37.0,24.0,16.0,34.0
P78,OAKMONT FLYER,BUS,83,0.5961602409638553,0.08483227201690988,0.3841,0.7405,0.7036333333333333,0.06593741905642925,0.008103329502585898,0.05005489323136089,0.0818199448814976,1.0,47,47,149,false,false,38.0,1.0,77.0,35.0
89,GARFIELD COMMONS,BUS,82,0.722351219512195,0.08229218231460005,0.4661,0.8724,0.70025,-0.022708140610545786,0.009600355719651066,-0.04152483782106187,-0.0038914434000296982,1.0,47,47,54,false,false,39.0,67.0,73.0,36.0
79,EAST HILLS,BUS,82,0.709910975609756,0.046659761410008306,0.6003,0.7863,0.6912416666666665,-0.00931581868640148,0.006152545806122595,-0.021374808466401767,0.002743171093598805,0.0,47,47,114,false,false,40.0,50.0,14.0,37.0
51,CARRICK,BUS,83,0.7006710843373495,0.047178706777529666,0.5577,0.7927,0.688125,-0.009548658649398706,0.004125149507917661,-0.01763395168491732,-0.001463365613880092,1.0,47,47,141,false,false,41.0,51.0,15.0,38.0
71,EDGEWOOD TOWN CENTER,BUS,83,0.7087638554216867,0.09389821367468032,0.3476,0.896,0.6865833333333334,-0.027381591119333956,0.011131880300553211,-0.04920007650841825,-0.005563105730249662,1.0,47,47,95,false,false,42.0,73.0,83.0,39.0
7,SPRING GARDEN,BUS,83,0.7074795180722891,0.09936515652617992,0.2863,0.8527,0.6796666666666665,-0.015743478260869567,0.015413510728516676,-0.04595395928876225,0.014467002767023118,0.0,47,47,67,false,false,43.0,58.0,86.0,40.0
P76,LINCOLN HIGHWAY FLYER,BUS,81,0.6996135802469136,0.07164081370470048,0.507,0.8232,0.6796500000000001,-0.01918290471785384,0.009350066166727445,-0.03750903440463963,-0.000856775031068048,1.0,46,46,100,false,false,44.0,64.0,63.0,41.0
P68,BRADDOCK HILLS FLYER,BUS,83,0.6795807228915662,0.0662065954599531,0.4755,0.7948,0.6719583333333333,-0.018087974098057354,0.006519057379360853,-0.030865326561604622,-0.005310621634510083,1.0,47,47,175,false,false,45.0,61.0,50.0,42.0
29,ROBINSON,BUS,81,0.6510407407407407,0.05634081508502023,0.5213,0.7616,0.6712,0.0004771748569891858,0.006117584032926834,-0.011513289847547407,0.01246763956152578,0.0,45,47,131,false,false,46.0,38.0,33.0,43.0
55,GLASSPORT,BUS,82,0.7121536585365854,0.06929324552464514,0.522,0.8173,0.66255,-0.010287825441636632,0.008473381681623454,-0.0268956535376186,0.006320002654345338,0.0,46,47,199,false,false,47.0,52.0,58.0,44.0
61D,MURRAY,BUS,83,0.6678686746987952,0.06892445834374222,0.3837,0.78,0.6616083333333332,0.01931794634597593,0.009782475790490762,0.00014429379661403882,0.03849159889533782,1.0,47,47,75,false,false,48.0,9.0,56.0,45.0
54,NORTH SIDE-OAKLAND-SOUTH SIDE,BUS,83,0.6672096385542169,0.03413012621894943,0.5899,0.7299,0.6595583333333334,-0.003107678075855689,0.004177540064530443,-0.011295656602335356,0.0050803004506239785,0.0,47,47,211,false,false,49.0,43.0,1.0,46.0
17,SHADELAND,BUS,82,0.6683573170731708,0.0361477251320081,0.5697,0.769,0.6594666666666666,0.005507400555041629,0.002999148423656714,-0.0003709303553255305,0.011385731465408788,0.0,47,47,101,false,false,50.0,28.0,4.0,47.0
86,LIBERTY,BUS,83,0.628733734939759,0.05524748813870369,0.4951,0.7219,0.6577333333333334,0.01624204440333025,0.007924155294772667,0.0007107000255758208,0.031773388781084676,1.0,47,47,142,false,false,51.0,11.0,29.0,48.0
75,ELLSWORTH,BUS,83,0.6881614457831325,0.053187908563849515,0.5613,0.779,0.6537833333333333,-0.011603700277520813,0.006625481056160619,-0.024589643147595625,0.0013822425925539995,0.0,47,47,150,false,false,52.0,53.0,26.0,49.0
12,MCKNIGHT,BUS,83,0.654610843373494,0.035853910941037556,0.5684,0.742,0.6529333333333334,-0.004156984273820537,0.00411133305357589,-0.012215197058829282,0.003901228511188207,0.0,47,47,108,false,false,53.0,45.0,3.0,50.0
SWL,Outbound to SHJ,UNKNOWN,13,0.829823076923077,0.18703122356907037,0.2097,0.9008,0.6516666666666666,-0.10448242811501601,0.12373332488479186,-0.34699974488920804,0.138034888659176,0.0,13,21,,false,true,54.0,94.0,94.0,1.0
16,BRIGHTON,BUS,83,0.7138240963855421,0.0518331718590151,0.5465,0.8328,0.6473166666666668,-0.021937742830712308,0.005583692915986838,-0.03288178094604651,-0.010993704715378106,1.0,47,47,95,false,false,55.0,66.0,24.0,51.0
88,PENN,BUS,83,0.6430156626506024,0.05754640859283561,0.5071,0.7656,0.647225,0.009503977798334876,0.008173180020642674,-0.006515455042124764,0.025523410638794514,0.0,47,47,70,false,false,56.0,21.0,36.0,52.0
