rank,route_id,route_name,mode,weekday_avg_riders,sat_avg_riders,sun_avg_riders,n_months,short_history,system_share,cum_share
54,P78,P78 - OAKMONT FLYER,Bus,888.5881598654361,,,94,false,0.006027881590934679,0.8454685889056774
55,MI,MONONGAHELA INCLINE,Incline,887.8595198873643,1873.3593023255814,1092.297318007663,86,false,0.006022938743720844,0.8514915276493983
56,27,27 - FAIRYWOOD,Bus,850.6127422774409,494.5753546099291,366.6492907801418,94,false,0.0057702691998114414,0.8572617968492098
57,P2,P2 - EAST BUSWAY SHORT,Bus,832.8980686785034,,,81,false,0.005650098844522639,0.8629118956937324
58,55,55 - GLASSPORT,Bus,826.7601238294627,657.3285460992907,512.1645390070922,94,false,0.005608461102278462,0.8685203567960108
59,15,15 - CHARLES,Bus,806.3292245467338,599.7515957446809,380.7225177304964,94,false,0.005469864790471593,0.8739902215864824
60,29,29 - ROBINSON,Bus,772.7093445391293,402.0604166666667,200.65868055555555,94,false,0.005241798893422097,0.8792320204799046
61,O12,O12 - MCKNIGHT FLYER,Bus,764.2198409730071,,,94,false,0.005184208972045976,0.8844162294519505
62,Y47,Y47 - CURRY FLYER,Bus,747.3165917063284,399.83085106382975,,94,false,0.005069543045035399,0.8894857724969859
63,26,26 - CHARTIERS,Bus,734.0137803405999,431.67358156028365,274.5125886524823,94,false,0.004979301271218275,0.8944650737682042
64,79,79 - EAST HILLS,Bus,733.6987218171574,582.0267730496454,344.03439716312056,94,false,0.004977164020735651,0.8994422377889398
65,44,44 - VIA KNOXVILLE,Bus,728.9767871396176,257.8785460992908,181.7900709219858,94,false,0.004945132012655948,0.9043873698015957
66,74,74 - HOMEWOOD-SQUIRREL HILL,Bus,721.0694385024877,361.82375886524824,112.31944444444444,94,false,0.004891491233456194,0.909278861035052
67,2,2 - MOUNT ROYAL,Bus,695.0491053394568,153.64791666666665,94.03392857142858,94,false,0.004714978092332219,0.9139938391273842
68,58,58 - GREENFIELD,Bus,659.6194555643166,182.37411347517732,117.58120567375886,94,false,0.004474635329172768,0.918468474456557
69,22,22 - MCCOY,Bus,628.783922119233,362.9143617021276,118.84479166666667,94,false,0.004265457497646836,0.9227339319542038
70,P12,P12 - HOLIDAY PARK FLYER,Bus,623.0482840110535,,,94,false,0.004226548868288333,0.9269604808224922
71,O1,O1 - ROSS FLYER,Bus,616.2881264109732,,,94,false,0.004180690245149001,0.9311411710676412
72,P76,P76 - LINCOLN HIGHWAY FLYER,Bus,560.6809093048405,,,94,false,0.0038034696884763513,0.9349446407561175
73,P16,P16 - PENN HILLS FLYER,Bus,521.7349547550654,,,94,false,0.0035392735028018547,0.9384839142589193
74,G3,G3 - MOON FLYER,Bus,478.20789217071774,,0.0,94,false,0.003244000629371509,0.9417279148882908
75,51L,51L - CARRICK LIMITED,Bus,459.8401596034489,,,94,false,0.003119400142880424,0.9448473150311711
76,11,11 - FINEVIEW,Bus,448.85772460859494,189.60833333333335,124.94716312056737,94,false,0.0030448990177032193,0.9478922140488744
77,20,20 - KENNEDY,Bus,446.914376303217,166.54013605442177,84.33611111111112,94,false,0.003031715999963555,0.9509239300488379
78,4,4 - TROY HILL,Bus,444.7598351325711,178.0921985815603,62.439430894308934,94,false,0.003017100321243039,0.9539410303700809
79,P7,P7 - MCKEESPORT FLYER,Bus,433.21336531346026,,,94,false,0.0029387729745524857,0.9568798033446334
80,43,43 - BAILEY,Bus,431.0170814988442,246.91790780141844,181.33014184397163,94,false,0.0029238741278509984,0.9598036774724844
81,40,40 - MOUNT WASHINGTON,Bus,422.53874107942465,173.93297872340426,123.19911347517728,94,false,0.002866359933487171,0.9626700374059716
