geoid,n_stops,n_signalized,n_nearside,n_signal_classified,use_total,use_signalized,use_classified,use_nearside,median_household_income,population,households_total,households_zero_vehicle,pop_black_nh,signalized_share,nearside_share,rw_signalized_share,rw_nearside_share,zero_vehicle_share,black_share
42129800700,1,0,0,0,1.643181818181817,0.0,0.0,0.0,22829.0,1822,1215,452,555,0.0,,0.0,,0.3720164609053498,0.3046103183315038
42003130800,42,18,18,18,1111.370462745,357.00909064999996,357.00909064999996,357.00909064999996,23636.0,2177,938,384,1831,0.42857142857142855,1.0,0.32123320046514,1.0,0.4093816631130064,0.8410656867248507
42003562300,60,13,11,13,1320.547711235,653.9681774,653.9681774,634.7590863,25792.0,2966,1333,531,1505,0.21666666666666667,0.8461538461538461,0.4952249523710106,0.9706268718206289,0.3983495873968492,0.5074173971679029
42003562000,23,19,14,19,2377.27501355,2278.78182585,2278.78182585,1772.475005,26604.0,2652,1849,857,409,0.8260869565217391,0.7368421052631579,0.9585688710230797,0.7778168953663896,0.46349378042184963,0.15422322775263952
42003120300,24,3,3,3,227.27272472,58.2272715,58.2272715,58.2272715,26837.0,2093,718,228,1678,0.125,1.0,0.2561999974776384,1.0,0.31754874651810583,0.8017200191113235
42003513800,29,13,13,13,472.62727272727284,339.41363636363644,339.41363636363644,339.41363636363644,27212.0,1814,732,305,1443,0.4482758620689655,1.0,0.7181422993325511,1.0,0.4166666666666667,0.7954796030871003
42003040900,9,7,4,7,1026.9636340499999,972.2954534999999,972.2954534999999,414.17045335,27383.0,3722,1574,460,609,0.7777777777777778,0.5714285714285714,0.9467671699976298,0.4259718091441225,0.29224904701397714,0.16362170875873186
42003980500,2,1,0,1,15.747727245,9.725000045,9.725000045,0.0,27750.0,19,19,0,0,0.5,0.0,0.6175494338770534,0.0,0.0,0.0
42003550900,12,1,1,1,90.33863636363635,5.147727272727275,5.147727272727275,5.147727272727275,28767.0,1807,749,299,1029,0.08333333333333333,1.0,0.0569825655991346,1.0,0.3991989319092123,0.5694521306032098
42003514000,21,1,1,1,262.243186185,0.0,0.0,0.0,29107.0,1837,799,304,1194,0.047619047619047616,1.0,0.0,,0.3804755944931164,0.6499727817093086
