geoid,area_label,population,land_area_m2,pop_density,weekly_trips,boardings,boardings_per_1000,density_quartile,rail_served,expected_boardings,boardings_resid
42003485000,"Whitaker borough (Allegheny, PA)",1232,767480.0,1605.2535570959506,3568,89.95,73.01136363636364,3,false,68.50351395788059,0.11679594119876335
42003484300,"Munhall borough (Allegheny, PA)",3523,2224257.0,1583.8997022376464,5600,126.4,35.87851263128016,3,false,67.44584997573041,0.2698223069724004
42003473500,"Mount Lebanon township (Allegheny, PA)",3769,2382464.0,1581.9756353086555,1856,30.2,8.012735473600424,3,false,67.35065139470196,-0.340588063814097
42003562400,Beltzhoover,2955,1891449.0,1562.294304525261,7763,258.7,87.54653130287647,3,true,66.37783025606048,0.5859549281874115
42003477200,"Whitehall borough (Allegheny, PA)",4489,2899681.0,1548.1013256285778,3426,76.7,17.086210737357987,3,false,65.67739199815938,0.06644241419201902
42003523400,"Penn Hills township (Allegheny, PA)",5016,3253596.0,1541.6788070799203,2230,89.6,17.862838915470494,3,false,65.36073953604682,0.1352169804415082
42003261300,Summer Hill,2996,1957399.0,1530.6026006961279,9751,546.8,182.51001335113486,3,false,64.81509393906332,0.9202965224087563
42003457100,"Bridgeville borough (Allegheny, PA)",1433,940181.0,1524.1746004226848,1552,45.1,31.472435450104676,3,false,64.4986945662777,-0.15253171890271777
42003484600,"Munhall borough (Allegheny, PA)",1815,1202629.0,1509.193608336403,2574,90.4,49.807162534435264,3,false,63.76205160603527,0.14962559735930614
42003320600,Brookline,2232,1479651.0,1508.4638201846249,4719,194.2,87.00716845878136,3,true,63.726193582239716,0.47939974555013
42003479000,,1962,1307994.0,1500.0068807655082,0,0.0,0.0,3,false,63.3108470319858,-1.8082842296713215
42003262000,Spring Hill-City View,2466,1647931.0,1496.4218768868357,7031,248.15,100.62854825628548,3,false,63.1348787466722,0.5893666135083278
